career,skills
Go Developer,testing | go | docker | sql | monitoring | git | networking | cloud | security | microservices | grpc | bash | concurrency | kubernetes | message queues | performance optimization | rest api | ci/cd
Frontend Developer,accessibility | css | html | typescript | vue.js | javascript | testing | web security | webpack | git | performance optimization | angular | pwa | graphql | redux | rest api | responsive design
QA Engineer,performance testing | bdd | ci/cd | test case design | jmeter | postman | security testing | git | automation testing | cypress | sql | agile | python | mobile testing | api testing | playwright | selenium | bug reporting
Application Security Engineer,git | sast/dast | bug bounty | authentication | ci/cd security | python | web app security | owasp | secure code review | security architecture | penetration testing | authorization | cryptography | api security | fuzzing
VLSI Engineer,logic synthesis | physical design | floorplanning | asic design | clock tree synthesis | dft | routing | rtl design | systemverilog | verilog | digital electronics | cadence | fpga | semiconductor design | static timing analysis | cmos
Operations Research Analyst,simulation | integer programming | sql | decision analysis | predictive modeling | r | tableau | supply chain analytics | optimization | linear programming | mathematical modeling | solver | operations research | statistics | data analysis
Rust Developer,testing | documentation | cargo | embedded systems | git | webassembly | async programming | memory management | c/c++ | networking | linux | systems programming | api design | cryptography | performance optimization | cli development | cross-platform development | concurrency
Product Manager,sprint planning | jira | a/b testing | stakeholder management | user research | market research | go-to-market strategy | data analysis | kpis | roadmap planning | okrs | product strategy | prioritization | communication | agile | feature scoping | competitive analysis
Quantitative Analyst,probability theory | time series analysis | numpy | pandas | portfolio management | financial modeling | optimization | r | statistics | machine learning | stochastic calculus | risk management | monte carlo simulation | sql | derivatives | excel | vba | bloomberg terminal
Solutions Engineer,presentation skills | rest api | use case development | security | pre-sales | crm | customer success | networking | integration | scripting | python | sql | stakeholder management | troubleshooting | docker | cloud
Network Security Engineer,compliance | identity management | siem | threat modeling | linux | ids/ips | zero trust | cryptography | security fundamentals | networking | security policies | cloud security | pki | nac | packet analysis
DevOps Engineer,helm | jenkins | nginx | service mesh | cloud | grafana | linux | terraform | load balancing | ci/cd | git | security | bash | github actions | elk stack | prometheus | monitoring
COBOL Developer,testing | cobol | cics | racf | tso/ispf | mq series | copybooks | jcl | batch processing | documentation | performance tuning | mainframe systems | banking systems | debugging | legacy migration | file handling | rehosting
Network Security Engineer,python | ids/ips | siem | nac | security policies | ddos mitigation | compliance | cryptography | firewalls | packet analysis | cloud security | identity management | linux | network security | networking
Big Data Engineer,data pipelines | python | databricks | data lake | distributed systems | delta lake | scala | hive | hbase | apache spark | nosql | flink | sql | etl | data warehousing
Enterprise Architect,integration patterns | data architecture | security | solution design | risk management | api design | digital transformation | communication | change management | enterprise architecture | stakeholder management | documentation | system design | technology roadmap | governance | business strategy | cloud | vendor management
Embedded Systems Engineer,microcontrollers | jtag debugging | arm architecture | power optimization | uart/spi/i2c | c | device drivers | memory management | assembly | bootloaders | debugging | signal processing | iot protocols | safety standards | linux | can bus | rtos
GraphQL Developer,graphql | testing | postgresql | redis | schema design | apollo | docker | authentication | typescript | node.js | subscriptions | git | javascript | sql | resolvers | react | federation | mongodb
SEO Specialist,google search console | wordpress | keyword research | e-commerce seo | local seo | data analysis | seo | competitive analysis | page speed optimization | international seo | content writing | content strategy | core web vitals | link building | schema markup | technical seo | ahrefs/semrush
Android Developer,rest api | jetpack compose | kotlin | room database | java | dagger/hilt | ci/cd | coroutines | google play deployment | navigation component | proguard | firebase | android sdk | mvvm architecture | retrofit
SEO Specialist,ahrefs/semrush | schema markup | international seo | local seo | page speed optimization | competitive analysis | e-commerce seo | core web vitals | google analytics | content strategy | content writing | google search console | data analysis | keyword research | html | link building | reporting | seo
IoT Engineer,iot | rest api | wifi | data processing | python | cloud computing | raspberry pi | edge computing | http | wireless communication | aws iot | mqtt | embedded systems | esp32 | sensors | iot security
IT Support Specialist,networking | backup recovery | email administration | communication | remote desktop | vpn | security awareness | ticketing systems | printer management | customer service | active directory | documentation | mobile device management | itil | troubleshooting
Digital Marketing Tech,conversion optimization | ppc advertising | utm tracking | email marketing | crm | sem | html/css | facebook ads | sql | salesforce | a/b testing | seo | marketing automation | content strategy | attribution modeling
Data Scientist,data visualization | python | seaborn | data cleaning | matplotlib | r | hypothesis testing | scikit-learn | model deployment | deep learning | sql | tableau | machine learning | xgboost | jupyter notebook
Fullstack Developer,sql | next.js | typescript | html | javascript | git | authentication | graphql | mongodb | css | linux | cloud | docker | react | redis
Rust Developer,systems programming | cargo | cli development | memory management | cross-platform development | c/c++ | networking | embedded systems | async programming | api design | concurrency | rust | performance optimization | git | safety programming | webassembly | documentation
Fintech Developer,regulatory compliance | java | python | sql | spring boot | docker | redis | iso 8583 | pci-dss | fraud detection | payment systems | open banking | security | real-time processing | swift messaging | api gateway | cryptography | rest api
DevOps Engineer,cloud | jenkins | nginx | kubernetes | ansible | git | terraform | linux | prometheus | grafana | load balancing | helm | bash | monitoring | ci/cd | docker | service mesh
Electronics Engineer,soldering | digital electronics | microcontrollers | sensors | oscilloscopes | spice | analog electronics | embedded c | circuit design | technical documentation | testing and debugging | emi/emc | matlab | embedded systems | communication systems | electronics prototyping
SEO Specialist,competitive analysis | seo | keyword research | data analysis | local seo | link building | international seo | google analytics | content strategy | technical seo | google search console | schema markup | reporting | page speed optimization | html | e-commerce seo | content writing
Electrical Engineer,autocad electrical | transformers | simulink | motors | electrical circuits | generators | power systems | matlab | plc | control systems | renewable energy | protection systems | circuit analysis | electrical safety | electrical wiring | instrumentation | scada
Low Code Developer,documentation | workflow design | ui design | api connectors | testing | sharepoint | azure | process automation | powerbi | power automate | sql | data integration | business analysis | dynamics 365 | rest api | javascript | logic apps | power apps
Product Designer,data analysis | motion design | stakeholder management | sketch | design systems | design sprints | prototyping | product strategy | user journey mapping | metrics | accessibility | ux research | a/b testing | figma | ui design | user flows | html/css
R Developer,machine learning | tidyverse | shiny | statistics | sql | data visualization | python | etl | ggplot2 | dplyr | reporting | git | r | time series | r markdown | excel
Digital Marketing Tech,conversion optimization | sem | content strategy | ppc advertising | email marketing | crm | salesforce | social media marketing | utm tracking | attribution modeling | google analytics | seo | a/b testing | facebook ads | hubspot
.NET Developer,asp.net | azure | linq | wpf | design patterns | blazor | git | c# | sql | kubernetes | signalr | grpc | entity framework | ci/cd | unit testing | .net | dependency injection
Scala Developer,design patterns | git | scala | play framework | linux | java | big data | functional programming | nosql | akka | cloud | sql | apache spark | stream processing | distributed systems | docker | testing
Penetration Tester,wireshark | linux | vulnerability assessment | burp suite | metasploit | ethical hacking | owasp | python | networking | cloud security | report writing | kali linux | red team operations | social engineering | exploit development | nmap | mobile security
AI Safety Engineer,alignment research | machine learning | stakeholder engagement | deep learning | policy understanding | testing | reinforcement learning | ethics | research | python | safety engineering | risk assessment | interpretability | communication | mathematics | bias detection
Signal Processing Engineer,matlab | signal analysis | communication systems | linear algebra | filtering | dsp algorithms | fft | fourier transform | image processing | fir filters | sampling | time frequency analysis | audio processing | modulation | spectral analysis | python | statistics
GraphQL Developer,javascript | resolvers | rest api | redis | node.js | testing | apollo | sql | react | graphql | docker | git | postgresql | typescript | dataloader | schema design | federation | subscriptions
Data Engineer,scala | apache spark | apache kafka | redshift | nosql | etl | docker | dbt | snowflake | sql | bigquery | hadoop | linux | git | cloud | data pipelines
Helpdesk Technician,active directory | itil | communication | security awareness | customer service | user training | documentation | escalation management | printer support | linux | windows | remote desktop | troubleshooting | networking | office 365 | vpn | email administration | mobile device management
Python Developer,git | pytest | cloud | pandas | sql | asyncio | testing | redis | pydantic | postgresql | numpy | flask | fastapi | sqlalchemy | python | rest api | linux
IoT Engineer,esp32 | edge computing | bluetooth | raspberry pi | mqtt | data processing | http | iot security | wireless communication | arduino | wifi | cloud computing | embedded systems | iot | aws iot | embedded c
GraphQL Developer,docker | subscriptions | postgresql | apollo | javascript | git | schema design | authentication | mongodb | rest api | node.js | redis | dataloader | testing | graphql | react | resolvers
AR/VR Developer,computer vision | ux for xr | shader programming | webxr | 3d audio | haptics | gesture recognition | physics simulation | openxr | arkit/arcore | performance optimization | 3d modeling | xr development | oculus sdk | unreal engine | c# | unity | animation
Firmware Engineer,i2c | microcontrollers | memory management | debugging | embedded c | rtos | embedded linux | arm | c | c++ | timers | device drivers | can | spi | gpio
Machine Learning Engineer,pytorch | git | python | tensorflow | rest api | machine learning | model evaluation | spark | scikit-learn | pandas | mlops | docker | linux | kubernetes | statistics | cloud | data pipelines | numpy
AI Safety Engineer,bias detection | reinforcement learning | llms | robustness testing | mathematics | ethics | stakeholder engagement | machine learning | documentation | safety engineering | alignment research | communication | interpretability | policy understanding | deep learning
AWS Solutions Architect,serverless | docker | lambda | cloudformation | security | high availability | aws | terraform | cost optimization | disaster recovery | migration | cloud architecture | kubernetes | ecs/eks | python
Machine Learning Engineer,cloud | tensorflow | feature engineering | scikit-learn | data pipelines | python | numpy | mlops | rest api | pytorch | git | statistics | docker | machine learning | deep learning | kubernetes | linux
IT Support Specialist,backup recovery | communication | email administration | security awareness | ticketing systems | troubleshooting | customer service | vpn | powershell | printer management | remote desktop | linux | networking | office 365 | active directory | itil | documentation
R Developer,data analysis | sql | dplyr | tidyverse | r | reproducible research | time series | r markdown | etl | machine learning | statistics | data visualization | statistical modeling | excel | reporting
UI/UX Designer,prototyping | usability testing | interaction design | design systems | user journey mapping | ui design | accessibility | sketch | typography | information architecture | persona creation | adobe xd | ux research | figma | a/b testing | wireframing | design thinking
AR/VR Developer,c# | spatial computing | oculus sdk | 3d audio | gesture recognition | hololens sdk | webxr | xr development | 3d modeling | shader programming | physics simulation | openxr | computer vision | unity | haptics | unreal engine | ux for xr
MLOps Engineer,feature stores | grafana | prometheus | model monitoring | cloud | ci/cd | python | docker | mlops | bash | machine learning | git | kubernetes | mlflow | linux | kubeflow
Technical Writer,release notes | editing | content strategy | diagramming tools | documentation | markdown | information architecture | research skills | technical writing | user manuals | style guides | api documentation | git | version control | html | communication | collaboration tools | dita
Network Engineer,network security | switching | firewalls | mpls | sd-wan | linux | qos | networking | cloud networking | cisco | wireshark | python | vpn | dns | network automation | ospf | tcp/ip | routing protocols
Low Code Developer,sharepoint | testing | formula language | api connectors | rest api | business analysis | data integration | documentation | power platform | power automate | sql | dynamics 365 | powerbi | workflow design | azure | javascript | logic apps | power apps
ERP Developer,user training | smart forms | debugging | integration | cloud | business processes | alv reports | odata | testing | sql | sap | bapi/rfc | sap fiori | change management | sap modules | erp systems
Fintech Developer,swift messaging | java | redis | kafka | docker | security | iso 8583 | real-time processing | python | microservices | fraud detection | open banking | payment systems | spring boot | regulatory compliance | sql
Rust Developer,cargo | linux | cli development | concurrency | async programming | api design | rust | cryptography | networking | performance optimization | documentation | safety programming | git | embedded systems | cross-platform development | testing | c/c++ | webassembly
Blockchain Developer,javascript | web3.js | nfts | smart contracts | defi | python | security auditing | layer 2 solutions | ethereum | ipfs | rust | git | cryptography | cross-chain protocols | erc standards
AWS Solutions Architect,s3 | well-architected framework | disaster recovery | cost optimization | migration | aws | linux | ecs/eks | networking | security | terraform | cloud architecture | docker | cloudformation | serverless
Network Engineer,cisco | wireshark | cloud networking | tcp/ip | network automation | python | network security | dns | networking | qos | firewalls | sd-wan | load balancing | switching | mpls
AI Engineer,fastapi | llms | hugging face | pytorch | python | langchain | nlp | vector databases | linux | git | machine learning | cloud | openai api | deep learning | mlops
Penetration Tester,exploit development | bash | web app security | cloud security | active directory attacks | mobile security | metasploit | red team operations | nmap | kali linux | vulnerability assessment | owasp | linux | burp suite | ethical hacking
iOS/Android Cross Platform Developer,animations | app store deployment | dart | javascript | ui/ux design | typescript | flutter | offline storage | state management | analytics | performance optimization | deep linking | push notifications | rest api | git | testing | react native
Site Reliability Engineer (SRE),distributed systems | incident management | postmortem analysis | python | monitoring | linux | git | bash | runbooks | prometheus | slo/sla | cloud | docker | automation | grafana | kubernetes
Automation Engineer,testing | rest api testing | agile | ansible | bash | robot framework | python | selenium | performance testing | ci/cd | docker | monitoring | jenkins | reporting | linux
DevSecOps Engineer,git | cloud | vulnerability scanning | docker | ci/cd | compliance as code | security | security automation | owasp | container security | policy as code | incident response | terraform | sast/dast | devops | kubernetes | secret management
Technical Project Manager,issue tracking | quality assurance | waterfall | reporting | project management | stakeholder management | confluence | budgeting | risk management | leadership | jira | schedule management | resource planning | ms project | communication | contract management
MLOps Engineer,docker | kubernetes | cloud | model monitoring | mlops | apache airflow | feature stores | ci/cd | python | linux | grafana | kubeflow | prometheus | dvc | bentoml
Operations Research Analyst,integer programming | mathematical modeling | operations research | r | optimization | linear programming | forecasting | excel | supply chain analytics | sql | predictive modeling | tableau | decision analysis | statistics | python | simulation | mathematics | solver
Scrum Master,facilitation | conflict resolution | agile | confluence | team building | jira | communication | leadership | sprint planning | retrospectives | kanban | burn-down charts | coaching | scrum | servant leadership
Application Security Engineer,fuzzing | secure code review | javascript | sast/dast | cryptography | authorization | security architecture | authentication | bug bounty | ci/cd security | sdlc security | git | web app security | python | docker | threat modeling | penetration testing
MLOps Engineer,dvc | mlflow | git | cloud | kubeflow | apache airflow | docker | prometheus | python | feature stores | terraform | bentoml | kubernetes | linux | bash | model monitoring
React Native Developer,git | asyncstorage | debugging | testing | navigation | firebase | native modules | expo | ci/cd | redux | javascript | typescript | deep linking | performance optimization | animations | react
Database Administrator,database design | partitioning | stored procedures | redis | mongodb | backup recovery | indexing | security | cloud | performance tuning | oracle | bash | linux | python | postgresql | mysql | replication
PHP Developer,vue.js | eloquent orm | blade templates | phpunit | linux | wordpress | mysql | laravel | docker | html | css | javascript | api authentication | caching | composer | queue jobs | git | redis
Fintech Developer,sql | microservices | open banking | swift messaging | fraud detection | regulatory compliance | pci-dss | security | payment systems | kafka | iso 8583 | java | real-time processing | redis | docker | api gateway
ERP Developer,bapi/rfc | odata | erp systems | sql | cloud | business processes | documentation | integration | sap modules | abap | rest api | debugging | sap | user training | alv reports | sap fiori
Data Engineer,nosql | scala | pandas | linux | bigquery | etl | redshift | sql | apache airflow | snowflake | data pipelines | hadoop | git | python | apache spark
IT Auditor,business processes | compliance | it audit | internal controls | risk management | cloud | gdpr | communication | networking | reporting | change management | security fundamentals | sox | vulnerability assessment | sql | documentation | itil | stakeholder management
ERP Developer,java | rest api | debugging | documentation | business processes | sap modules | smart forms | erp systems | change management | abap | cloud | sql | testing | sap | bapi/rfc
React Developer,accessibility | html | context api | jest | storybook | git | next.js | react query | rest api | graphql | styled components | css | redux | performance optimization | javascript | testing | react hooks | react
Technical Project Manager,budgeting | confluence | technical background | resource planning | project management | risk management | leadership | scope management | contract management | agile | quality assurance | issue tracking | change management | stakeholder management | communication | schedule management | jira
Fullstack Developer,docker | git | redis | javascript | html | mongodb | linux | authentication | node.js | graphql | websockets | ci/cd | cloud | sql | testing | rest api | react
Java Developer,gradle | hibernate | redis | jpa | spring boot | design patterns | spring security | kubernetes | docker | microservices | kafka | reactive programming | java | cloud | rest api
AR/VR Developer,haptics | ux for xr | openxr | webxr | unreal engine | animation | computer vision | shader programming | physics simulation | spatial computing | xr development | 3d modeling | performance optimization | unity | oculus sdk
Site Reliability Engineer,runbooks | incident management | slo/sla | chaos engineering | linux | networking | on-call practices | python | cloud | grafana | bash | automation | capacity planning | docker | postmortem
Technical Project Manager,quality assurance | change management | project management | communication | jira | issue tracking | agile | confluence | technical background | scope management | waterfall | risk management | reporting | ms project | stakeholder management | resource planning | schedule management | contract management
SEO Specialist,content strategy | html | international seo | core web vitals | ahrefs/semrush | technical seo | google analytics | keyword research | competitive analysis | local seo | link building | schema markup | google search console | data analysis | page speed optimization | content writing
Frontend Developer,accessibility | html | testing | redux | web security | vue.js | pwa | rest api | css | angular | javascript | typescript | webpack | sass | next.js | responsive design | performance optimization | git
IoT Developer,iot protocols | azure iot | microcontrollers | security | mqtt | wireless protocols | python | arduino | raspberry pi | aws iot | linux | edge computing | cloud | electronics | firmware development | data analytics | networking | device management
Salesforce Developer,visualforce | metadata api | apex | salesforce | triggers | soql | community cloud | salesforce administration | process builder | rest api | einstein analytics | batch processing | crm knowledge | flow automation | cpq
Network Security Engineer,siem | ddos mitigation | compliance | vpn | cloud security | pki | threat modeling | packet analysis | nac | network security | zero trust | python | security fundamentals | linux | cryptography | firewalls | ids/ips | identity management
Ruby Developer,redis | sidekiq | api design | rest api | docker | linux | css | mvc architecture | ruby on rails | git | javascript | postgresql | ruby | rspec | cloud | testing
Full Stack Machine Learning Engineer,redis | model deployment | git | kubernetes | postgresql | deep learning | monitoring | feature engineering | sql | typescript | docker | ci/cd | python | mlops | machine learning | react | rest api
Site Reliability Engineer,slo/sla | grafana | monitoring | cloud | networking | capacity planning | automation | bash | chaos engineering | linux | runbooks | docker | kubernetes | on-call practices | git
Solutions Engineer,use case development | communication | solution architecture | pre-sales | python | customer success | docker | stakeholder management | troubleshooting | product knowledge | technical sales | integration | security | crm | scripting
Backend Developer,authentication | rest api | python | kafka | websockets | git | sql | system design | linux | postgresql | spring boot | message queues | docker | redis | mongodb | microservices | graphql | java
iOS Developer,uikit | concurrency | testflight | xcode | alamofire | avfoundation | testing | git | cloudkit | core data | app store deployment | cocoapods/spm | arkit | push notifications | in-app purchase | rest api | combine
Kubernetes Engineer,helm | python | operators | istio | terraform | cloud | storage | cluster management | argocd | linux | docker | kubernetes | security | service mesh | networking | performance tuning
Signal Processing Engineer,signal analysis | fir filters | python | numerical methods | iir filters | fourier transform | filtering | sampling | linear algebra | digital signal processing | communication systems | time frequency analysis | matlab | audio processing | dsp algorithms
Site Reliability Engineer (SRE),automation | python | bash | prometheus | incident management | linux | cloud | chaos engineering | docker | networking | distributed systems | git | on-call | capacity planning | monitoring | kubernetes
Computer Vision Engineer,image segmentation | mathematics | point cloud | data augmentation | deep learning | tensorrt | cuda | transfer learning | cnns | tensorflow | 3d vision | gans | yolo | ros | python
AWS Solutions Architect,lambda | networking | cloud architecture | migration | ecs/eks | aws | kubernetes | s3 | cloudformation | rds | terraform | serverless | disaster recovery | python | cost optimization | linux | security
MLOps Engineer,kubernetes | terraform | docker | kubeflow | mlops | apache airflow | grafana | mlflow | bash | bentoml | prometheus | model monitoring | ci/cd | cloud | machine learning | feature stores | linux
Electrical Engineer,simulink | transformers | protection systems | control systems | generators | motors | power systems | renewable energy | electrical safety | testing and maintenance | electrical wiring | plc | autocad electrical | scada | instrumentation | electrical machines
Data Governance Analyst,communication | stakeholder management | business acumen | data policies | data governance | metadata management | data lineage | master data management | documentation | data catalog | data quality | risk management | data stewardship | sql | excel | power bi
React Native Developer,performance optimization | debugging | testing | native modules | navigation | deep linking | firebase | typescript | react native | animations | javascript | expo | rest api | git | push notifications | app store deployment
R Developer,r markdown | tidyverse | shiny | statistical modeling | git | excel | r | time series | reproducible research | data visualization | dplyr | etl | data analysis | statistics | python | sql
React Native Developer,ci/cd | rest api | git | app store deployment | react native | push notifications | deep linking | testing | animations | firebase | typescript | javascript | asyncstorage | native modules | performance optimization
DevSecOps Engineer,docker | policy as code | incident response | devops | secret management | python | git | cloud | owasp | vulnerability scanning | compliance as code | risk assessment | linux | sast/dast | security | terraform | security automation | ci/cd
Site Reliability Engineer,runbooks | incident management | grafana | slo/sla | postmortem | prometheus | linux | bash | python | chaos engineering | cloud | automation | git | distributed systems | networking | monitoring | on-call practices | kubernetes
Digital Marketing Tech,hubspot | html/css | a/b testing | data analysis | sql | conversion optimization | email marketing | attribution modeling | utm tracking | ppc advertising | seo | reporting | marketing automation | google analytics | facebook ads
Cybersecurity Analyst,malware analysis | risk assessment | owasp | cryptography | incident response | cloud security | threat intelligence | python | networking | firewalls | linux | security fundamentals | penetration testing | security auditing | vulnerability assessment
Swift Developer,push notifications | macos development | swiftui | instruments | xcode | app store | ios development | rest api | cloudkit | combine | accessibility | concurrency | core data | localization | git | package manager | objective-c
React Developer,rest api | webpack | testing | html | accessibility | typescript | performance optimization | next.js | css | graphql | react hooks | styled components | redux | javascript | jest | storybook
Robotics Engineer,path planning | linux | electronics | gazebo | computer vision | hardware integration | python | mathematics | computer aided design | kinematics | control systems | ros | c++ | simulation | pcb design | machine learning | testing | embedded systems
IT Auditor,stakeholder management | cobit | compliance | communication | risk management | data analysis | documentation | networking | sql | itil | it audit | reporting | change management | business processes | vulnerability assessment | gdpr | cloud | internal controls
NLP Engineer,sentiment analysis | tokenization | machine learning | deep learning | nlp | gpt | spacy | text preprocessing | tf-idf | named entity recognition | transformers | onnx | bert | word embeddings | hugging face | nltk
AR/VR Developer,shader programming | haptics | webxr | ux for xr | 3d modeling | unreal engine | oculus sdk | gesture recognition | spatial computing | 3d audio | c# | openxr | animation | hololens sdk | computer vision | unity | performance optimization | arkit/arcore
AI Safety Engineer,robustness testing | reinforcement learning | communication | alignment research | ethics | mathematics | stakeholder engagement | deep learning | research | risk assessment | llms | documentation | red teaming | policy understanding | testing
IT Auditor,reporting | sox | cobit | data analysis | vulnerability assessment | sql | communication | it audit | stakeholder management | gdpr | security fundamentals | business processes | risk management | networking | compliance
SOC Analyst,networking | linux | log analysis | playbook development | communication | security fundamentals | firewalls | ioc analysis | osint | threat intelligence | python | ticketing systems | incident response | forensics | siem
PHP Developer,mysql | redis | vue.js | javascript | docker | rest api | laravel | php | git | html | blade templates | caching | linux | wordpress | api authentication | queue jobs
Frontend Developer,web security | rest api | pwa | redux | responsive design | vue.js | react | javascript | testing | html | webpack | angular | sass | graphql | next.js | performance optimization | accessibility | git
iOS Developer,avfoundation | app store deployment | xcode | core location | git | core data | push notifications | cloudkit | arkit | swiftui | combine | uikit | rest api | in-app purchase | swift | testing
SOC Analyst,python | forensics | osint | ioc analysis | malware analysis | siem | wireshark | communication | cloud security | vulnerability scanning | linux | ticketing systems | log analysis | firewalls | edr | playbook development | threat intelligence | security fundamentals
IoT Engineer,sensors | wireless communication | aws iot | iot security | wifi | bluetooth | embedded systems | arduino | rest api | python | embedded c | edge computing | data processing | iot | esp32 | linux | http
Java Developer,multithreading | gradle | junit | design patterns | jpa | docker | kafka | maven | hibernate | microservices | git | redis | cloud | spring boot | spring security | kubernetes
