job_title,required_skills,skill_count
Data Scientist,python | machine learning | statistics | sql | deep learning | data visualization | pandas | numpy | scikit-learn | feature engineering | r | tableau | jupyter notebook | data cleaning | matplotlib | seaborn | xgboost | model deployment | hypothesis testing | big data,20
SEO Specialist,seo | google analytics | keyword research | content writing | technical seo | link building | google search console | ahrefs/semrush | html | data analysis | schema markup | page speed optimization | wordpress | core web vitals | local seo | e-commerce seo | international seo | content strategy | competitive analysis | reporting,20
Technical Writer,technical writing | documentation | communication | markdown | api documentation | html | git | research skills | diagramming tools | content strategy | dita | xml | style guides | version control | information architecture | user manuals | release notes | knowledge base | collaboration tools | editing,20
Prompt Engineer,prompt engineering | llms | python | nlp | langchain | api integration | rag | fine tuning | communication | data analysis | evaluation frameworks | chain-of-thought | few-shot learning | context management | model selection | bias mitigation | output parsing | a/b testing | documentation | workflow automation,20
Robotics Engineer,python | c++ | ros | computer vision | kinematics | machine learning | electronics | linux | mathematics | simulation | slam | path planning | sensor fusion | control systems | gazebo | pcb design | embedded systems | hardware integration | testing | computer aided design,20
Salesforce Developer,salesforce | apex | visualforce | lightning web components | soql | rest api | javascript | git | crm knowledge | integration | process builder | flow automation | salesforce administration | metadata api | salesforce dx | triggers | batch processing | einstein analytics | community cloud | cpq,20
DevSecOps Engineer,security | devops | ci/cd | docker | kubernetes | python | cloud | owasp | terraform | linux | sast/dast | secret management | vulnerability scanning | compliance as code | container security | policy as code | incident response | risk assessment | security automation | git,20
Site Reliability Engineer (SRE),linux | python | monitoring | kubernetes | docker | incident management | cloud | distributed systems | slo/sla | prometheus | grafana | chaos engineering | automation | bash | git | networking | on-call | capacity planning | postmortem analysis | runbooks,20
ERP Developer,sap | abap | sql | erp systems | business processes | integration | bapi/rfc | smart forms | alv reports | debugging | sap modules | sap fiori | odata | rest api | java | cloud | documentation | testing | change management | user training,20
Data Governance Analyst,data governance | sql | data quality | metadata management | data catalog | communication | excel | business acumen | data policies | stakeholder management | gdpr | data lineage | master data management | data stewardship | power bi | documentation | risk management | data architecture | compliance | change management,20
Kubernetes Engineer,kubernetes | docker | linux | cloud | terraform | helm | ci/cd | networking | monitoring | python | service mesh | istio | security | storage | operators | gitops | argocd | bash | cluster management | performance tuning,20
Big Data Engineer,apache spark | hadoop | python | sql | apache kafka | cloud | scala | data pipelines | hive | hbase | flink | yarn | data warehousing | etl | nosql | linux | distributed systems | data lake | databricks | delta lake,20
Full Stack Machine Learning Engineer,python | machine learning | react | fastapi | docker | sql | deep learning | cloud | git | rest api | mlops | typescript | postgresql | redis | kubernetes | testing | ci/cd | feature engineering | model deployment | monitoring,20
Solutions Engineer,technical sales | rest api | cloud | communication | sql | python | networking | security | docker | solution architecture | pre-sales | customer success | integration | presentation skills | troubleshooting | crm | product knowledge | scripting | use case development | stakeholder management,20
Automation Engineer,python | selenium | ci/cd | testing | bash | linux | docker | git | java | rest api testing | performance testing | test frameworks | bdd | cucumber | jenkins | robot framework | ansible | monitoring | reporting | agile,20
Enterprise Architect,enterprise architecture | system design | cloud | business strategy | togaf | communication | security | integration patterns | stakeholder management | risk management | technology roadmap | digital transformation | api design | governance | data architecture | solution design | cost optimization | vendor management | change management | documentation,20
Security Engineer,security fundamentals | python | network security | cloud security | cryptography | linux | incident response | vulnerability management | siem | iam | zero trust | docker | kubernetes | threat modeling | compliance | security automation | bash | git | penetration testing | forensics,20
Platform Engineer,kubernetes | docker | linux | cloud | terraform | ci/cd | python | monitoring | security | helm | service mesh | gitops | networking | bash | ansible | developer experience | internal tooling | observability | cost optimization | documentation,20
iOS/Android Cross Platform Developer,flutter | dart | react native | javascript | rest api | git | testing | firebase | state management | typescript | ui/ux design | animations | offline storage | push notifications | app store deployment | ci/cd | debugging | performance optimization | deep linking | analytics,20
Rust Developer,rust | systems programming | c/c++ | memory management | concurrency | webassembly | linux | git | testing | performance optimization | async programming | cargo | networking | embedded systems | safety programming | cli development | cross-platform development | documentation | cryptography | api design,20
Go Developer,go | rest api | microservices | docker | sql | linux | git | concurrency | cloud | kubernetes | grpc | testing | performance optimization | bash | networking | redis | message queues | ci/cd | security | monitoring,20
Scala Developer,scala | apache spark | functional programming | java | akka | kafka | sql | git | big data | docker | testing | play framework | sbt | nosql | cloud | stream processing | distributed systems | linux | ci/cd | design patterns,20
Ruby Developer,ruby | ruby on rails | sql | rest api | javascript | html | css | git | testing | linux | rspec | sidekiq | redis | postgresql | docker | mvc architecture | api design | authentication | caching | cloud,20
Swift Developer,swift | ios development | macos development | xcode | swiftui | rest api | core data | git | testing | concurrency | combine | package manager | app store | instruments | objective-c | cloudkit | push notifications | in-app purchase | accessibility | localization,20
R Developer,r | statistics | data analysis | ggplot2 | dplyr | machine learning | sql | shiny | r markdown | tidyverse | time series | statistical modeling | data visualization | bioinformatics | excel | python | git | reporting | etl | reproducible research,20
COBOL Developer,cobol | mainframe systems | jcl | cics | db2 | mq series | batch processing | file handling | vsam | debugging | performance tuning | z/os | tso/ispf | copybooks | rehosting | legacy migration | testing | documentation | racf | banking systems,20
Low Code Developer,power platform | power apps | power automate | sharepoint | dynamics 365 | sql | javascript | rest api | logic apps | azure | process automation | data integration | ui design | testing | business analysis | powerbi | formula language | workflow design | api connectors | documentation,20
Digital Marketing Tech,google analytics | seo | sem | social media marketing | email marketing | crm | a/b testing | data analysis | html/css | marketing automation | hubspot | salesforce | sql | content strategy | ppc advertising | conversion optimization | utm tracking | attribution modeling | reporting | facebook ads,20
IT Auditor,it audit | risk management | compliance | security fundamentals | networking | sql | communication | cobit | itil | sox | gdpr | cloud | documentation | data analysis | stakeholder management | internal controls | vulnerability assessment | change management | business processes | reporting,20
Helpdesk Technician,troubleshooting | windows | networking | communication | active directory | hardware | office 365 | itil | ticketing systems | customer service | remote desktop | linux | vpn | mobile device management | security awareness | documentation | printer support | escalation management | email administration | user training,20
Cloud Data Engineer,python | sql | cloud | spark | airflow | data pipelines | dbt | snowflake | bigquery | redshift | kafka | data warehousing | etl | delta lake | git | docker | data quality | ci/cd | monitoring | terraform,20
Research Scientist (AI),python | machine learning | deep learning | research | mathematics | statistics | pytorch | tensorflow | paper writing | experimentation | literature review | nlp | computer vision | reinforcement learning | data analysis | gpu programming | distributed training | benchmarking | reproducibility | collaboration,20
AI Safety Engineer,machine learning | python | safety engineering | ethics | interpretability | red teaming | alignment research | risk assessment | reinforcement learning | llms | communication | research | testing | documentation | robustness testing | bias detection | policy understanding | stakeholder engagement | mathematics | deep learning,20
