career,skills,source
AI Researcher,deep learning | pytorch | data analysis | machine learning,global_ai_jobs_dataset
NLP Engineer,deep learning | statistics | machine learning | tensorflow,global_ai_jobs_dataset
AI Researcher,computer vision | sql | machine learning | nlp,global_ai_jobs_dataset
AI Product Manager,computer vision | statistics | data analysis | nlp,global_ai_jobs_dataset
Game Developer,c++ basics | c# basics | python basics | unity basics | unreal engine basics | game mechanics basics | physics and collision basics | animation fundamentals | directx basics | opengl basics | git basics | debugging basics | communication | teamwork | adaptability | c++ | c# | unity | unreal engine | game mechanics | graphics programming | git | debugging,job_dataset
AI Researcher,python | nlp | pytorch | sql,global_ai_jobs_dataset
AI Researcher,computer vision | sql | pytorch | nlp,global_ai_jobs_dataset
Blockchain Developer,java basics | python basics | c++ basics | solidity basics | ethereum | hyperledger basics | corda basics | smart contract development | cryptography basics | dapps basics | git basics | truffle | remix ide | problem-solving | teamwork | adaptability | blockchain | solidity | smart contracts | cryptography | dapps | hyperledger | corda,job_dataset
Web Developer,javascript | react | node.js | express.js | sql | mongodb | docker | kubernetes | ci | cd | aws | graphql,job_dataset
Ethical Hacker,python | c | c++ | javascript | bash | powershell scripting | network security expert | linux (kali | parrot) advanced | windows security and active directory | penetration testing | vulnerability assessment | web app security testing | metasploit | nmap | burp suite | sqlmap | cryptography | ssl | tls | malware analysis | risk assessment | leadership | analytical thinking | communication | ethical hacking | network security | linux | windows security,job_dataset
Site Reliability Engineer,python basics | shell scripting | linux basics | windows os fundamentals | cloud fundamentals (aws | gcp | azure) | docker basics | kubernetes basics | intro to monitoring (prometheus | grafana) | tcp | ip networking | basic ci | cd | analytical thinking | time management | communication | python | bash | linux | docker | kubernetes | aws | ci | prometheus | networking | monitoring,job_dataset
Blockchain Developer,java advanced | python advanced | solidity advanced | rust basics | ethereum multi-chain | hyperledger | corda | smart contract security audits | gas optimization | cryptography advanced | scalable dapps | cross-chain interoperability | cloud integration | leadership | project management | innovation | mentorship | blockchain architecture | smart contract optimization | multi-chain | cross-chain | cryptography | consensus algorithms | ethereum | security audits,job_dataset
Ethical Hacker,python | c | c++ | javascript advanced | bash | powershell scripting | expert network security | linux | windows expert | penetration testing | vulnerability assessment | web application security | metasploit | burp suite | nmap | sqlmap | wireshark | cryptography | ssl | tls | malware analysis | reverse engineering | compliance frameworks | leadership | analytical thinking | communication | ethical hacking | network security | windows security,job_dataset
Ethical Hacker,python | c | c++ | javascript advanced | bash | powershell scripting | network penetration testing | linux expert | windows security and active directory | web application and network security | metasploit | burp suite | nmap | sqlmap | wireshark | cryptography | ssl | tls | malware analysis and reverse engineering | compliance (nist | iso) | leadership | project management | analytical thinking | ethical hacking | penetration testing | network security | linux | windows security | malware analysis,job_dataset
NLP Engineer,sql | tensorflow | computer vision | python,global_ai_jobs_dataset
Site Reliability Engineer,python advanced | go programming | java scripting | bash scripting | linux administration | windows administration | cloud platforms (aws | azure | gcp) | docker | kubernetes advanced | ci | cd pipelines (jenkins | bamboo | github actions) | infrastructure as code (terraform | ansible) | monitoring and logging tools (prometheus | grafana | elk stack) | networking (tcp | ip | dns | load balancing | cdn) | automation scripting | distributed systems management | security and compliance basics | problem-solving | collaboration | communication | time management | python | go | linux | kubernetes | aws | terraform | cd | prometheus | distributed systems,job_dataset
Java Developer,java apis | concurrency basics | jdbc | sql (mysql | postgresql) | servlets | jsp | html | css | javascript | java | sql | web development,job_dataset
AI Researcher,sql | nlp | deep learning | machine learning,global_ai_jobs_dataset
Ethical Hacker,python basics | bash scripting | networking fundamentals | linux (kali linux | parrot os) basics | windows security basics | penetration testing fundamentals | vulnerability assessment basics | web application security | basic knowledge of nmap | burp suite | cryptography fundamentals | problem-solving | communication | ethical mindset | ethical hacking | penetration testing | network security | python | linux | windows security | nmap | cryptography | web security,job_dataset
Prompt Engineer,data analysis | tensorflow | machine learning | pytorch,global_ai_jobs_dataset
.NET Developer,c# | vb.net | .net core basics | asp.net mvc | html | css | sql server | visual studio | .net,job_dataset
AI Researcher,data analysis | pytorch | deep learning | machine learning,global_ai_jobs_dataset
Data Analyst,machine learning | tensorflow | sql | nlp,global_ai_jobs_dataset
.NET Developer,c# | vb.net basics | .net core | asp.net mvc | html | css | javascript basics | sql server | git | .net | entity framework,job_dataset
Ethical Hacker,advanced python | c | c++ | javascript | bash | powershell scripting | expert network security | linux and windows security expert | penetration testing | vulnerability assessment | web application security | metasploit | nmap | burp suite | sqlmap | wireshark | cryptography and ssl | tls | malware analysis and reverse engineering | compliance frameworks | leadership | problem-solving | communication | ethical hacking | network security | python | linux | windows security | cryptography | malware analysis,job_dataset
Data Engineer,python | sql | postgresql | mongodb | hadoop basics | aws cloud basics | hadoop | aws,job_dataset
Site Reliability Engineer,python basics | bash scripting basics | linux fundamentals | windows os basics | cloud fundamentals (aws | azure | gcp) | docker basics | kubernetes introduction | monitoring basics (prometheus | grafana | nagios) | tcp | ip networking basics | basic ci | cd concepts | problem-solving | collaboration | communication | python | bash | linux | docker | kubernetes | aws | ci | cd | prometheus | monitoring | networking,job_dataset
Prompt Engineer,machine learning | pytorch | deep learning | tensorflow,global_ai_jobs_dataset
Data Scientist,machine learning | nlp | sql | statistics,global_ai_jobs_dataset
Data Engineer,python | sql | spark | hadoop | aws emr | snowflake | data modeling | airflow | aws,job_dataset
Computer Vision Engineer,sql | nlp | machine learning | statistics,global_ai_jobs_dataset
NLP Engineer,deep learning | computer vision | sql | pytorch,global_ai_jobs_dataset
AI Researcher,deep learning | pytorch | data analysis | sql,global_ai_jobs_dataset
Computer Vision Engineer,computer vision | data analysis | statistics | nlp,global_ai_jobs_dataset
MLOps Engineer,statistics | tensorflow | pytorch | computer vision,global_ai_jobs_dataset
Computer Vision Engineer,tensorflow | nlp | machine learning | deep learning,global_ai_jobs_dataset
Game Developer,c++ expert | c# expert | python advanced | java advanced | unity expert | unreal engine expert | godot basics | advanced gameplay and ai | multiplayer networking | physics and collision handling | shader programming | graphics optimization | cross-platform development | debugging and profiling | leadership | team collaboration | project management | c++ | c# | unity | unreal engine | game ai | multiplayer | performance optimization,job_dataset
Java Developer,junit | mockito | selenium | debugging | agile | java,job_dataset
.NET Developer,c# | asp.net mvc | .net core basics | entity framework basics | sql server | git | .net | entity framework,job_dataset
Data Engineer,python | scala basics | postgresql | mongodb | airflow fundamentals | spark basics | aws beginner | sql | etl | airflow | aws,job_dataset
AI Engineer,sql | nlp | data analysis | tensorflow,global_ai_jobs_dataset
Computer Vision Engineer,tensorflow | nlp | deep learning | sql,global_ai_jobs_dataset
Prompt Engineer,deep learning | data analysis | machine learning | tensorflow,global_ai_jobs_dataset
Ethical Hacker,advanced python | c | c++ | bash | powershell scripting | advanced networking | linux (kali | parrot) expert | windows security and ad | penetration testing and vulnerability assessment | web application security | metasploit | burp suite | nmap | wireshark | cryptography | ssl | tls | malware analysis | reverse engineering | compliance and risk assessment | problem-solving | leadership | communication | ethical hacking | penetration testing | network security | python | linux | windows security,job_dataset
Game Developer,c++ expert | c# expert | python advanced | java advanced | unity expert | unreal engine expert | godot basics | advanced gameplay and ai | multiplayer networking | physics simulation | shader programming | graphics optimization | cross-platform development | testing | debugging | leadership | team collaboration | project management | c++ | c# | unity | unreal engine | game ai | multiplayer | performance optimization,job_dataset
Data Analyst,statistics | data analysis | sql | python,global_ai_jobs_dataset
Data Engineer,python | java | sql | apache kafka | snowflake | airflow | aws glue | hadoop | etl | kafka | aws,job_dataset
Java Developer,java collections | multithreading basics | database management | sql queries | java | collections | sql | database | multithreading,job_dataset
Web Developer,javascript | react | node.js | express.js | mongodb | docker | kubernetes | aws | rest apis | graphql,job_dataset
MLOps Engineer,statistics | tensorflow | data analysis | sql,global_ai_jobs_dataset
Data Scientist,deep learning | sql | nlp | computer vision,global_ai_jobs_dataset
Machine Learning Engineer,data analysis | tensorflow | sql | deep learning,global_ai_jobs_dataset
Data Scientist,data analysis | sql | machine learning | deep learning,global_ai_jobs_dataset
Ethical Hacker,python | c | c++ | javascript advanced | bash | powershell scripting | network and web security expert | linux | windows os expert | penetration testing | vulnerability assessment | metasploit | burp suite | nmap | sqlmap | wireshark | cryptography | ssl | tls | malware analysis and reverse engineering | compliance frameworks | leadership | project management | analytical skills | ethical hacking | network security | windows security | burp | malware analysis,job_dataset
.NET Developer,c# | .net core | asp.net mvc | testing with xunit | moq | azure | xunit,job_dataset
NLP Engineer,tensorflow | deep learning | computer vision | python,global_ai_jobs_dataset
AI Researcher,data analysis | tensorflow | computer vision | machine learning,global_ai_jobs_dataset
Data Scientist,python | sql | computer vision | tensorflow,global_ai_jobs_dataset
.NET Developer,c# | asp.net core | webapi | signalr | sql server | nosql | entity framework | .net core | asp.net mvc,job_dataset
Prompt Engineer,pytorch | tensorflow | nlp | statistics,global_ai_jobs_dataset
Computer Vision Engineer,machine learning | python | deep learning | sql,global_ai_jobs_dataset
Machine Learning Engineer,computer vision | nlp | pytorch | sql,global_ai_jobs_dataset
Computer Vision Engineer,nlp | sql | machine learning | statistics,global_ai_jobs_dataset
AI Engineer,python | computer vision | deep learning | pytorch,global_ai_jobs_dataset
AI Engineer,computer vision | tensorflow | sql | statistics,global_ai_jobs_dataset
Data Engineer,python | java | sql | spark | aws glue | snowflake | data modeling | airflow | kafka | aws,job_dataset
Java Developer,restful apis | soap apis | angular | react | sql | nosql | java | rest apis | soap,job_dataset
Prompt Engineer,data analysis | sql | machine learning | nlp,global_ai_jobs_dataset
Site Reliability Engineer,python | go | bash | zsh scripting | linux | windows | aws | azure | gcp expert | docker | kubernetes | ci | cd (jenkins | bamboo | github actions) | iac (terraform | ansible | puppet | chef) | monitoring (prometheus | grafana | elk | nagios | splunk) | networking | distributed systems design | automation | security compliance | problem-solving | leadership | collaboration | communication | terraform | cd | monitoring | distributed systems,job_dataset
MLOps Engineer,statistics | computer vision | nlp | sql,global_ai_jobs_dataset
Java Developer,spring framework basics | hibernate basics | maven | gradle | junit basics | testng basics | java | spring | hibernate | junit | testng,job_dataset
AI Product Manager,python | tensorflow | pytorch | deep learning,global_ai_jobs_dataset
Computer Vision Engineer,computer vision | sql | tensorflow | data analysis,global_ai_jobs_dataset
Web Developer,html5 | css3 | javascript | react basics | node.js basics | git | mysql basics | rest apis | ajax | ui | ux fundamentals | react | node.js | mysql,job_dataset
.NET Developer,c# | .net core | asp.net mvc | sql server | entity framework | rest apis | docker | azure | microservices,job_dataset
Machine Learning Engineer,tensorflow | statistics | deep learning | python,global_ai_jobs_dataset
Site Reliability Engineer,python | go | java | bash | zsh scripting | linux expert | windows server administration | aws | azure | gcp advanced | docker | kubernetes expert | ci | cd pipelines (jenkins | bamboo | github actions) | infrastructure as code (terraform | ansible | puppet | chef) | monitoring and logging (prometheus | grafana | elk stack | nagios | splunk) | networking (tcp | ip | dns | load balancing | cdn) | automation scripting | distributed systems design and management | security and compliance knowledge | problem-solving | leadership | collaboration | communication | linux | kubernetes | terraform | cd | prometheus | monitoring,job_dataset
.NET Developer,c# | f# | .net core | asp.net mvc | microservices | docker | kubernetes | azure,job_dataset
Data Scientist,deep learning | nlp | sql | data analysis,global_ai_jobs_dataset
Computer Vision Engineer,deep learning | sql | nlp | computer vision,global_ai_jobs_dataset
Blockchain Developer,java advanced | python advanced | solidity advanced | rust basics | ethereum | hyperledger | corda | smart contract optimization | cryptography advanced | scalable dapps | cross-chain solutions | cloud integration | leadership | project management | team collaboration | innovation | blockchain architecture | multi-chain | cross-chain | cryptography | consensus algorithms | security audits,job_dataset
Data Scientist,nlp | computer vision | python | tensorflow,global_ai_jobs_dataset
Java Developer,agile | version control (git | svn) | mentoring | team collaboration | java | git | svn,job_dataset
Ethical Hacker,python | c | c++ | javascript | bash | powershell scripting | network and web security expert | linux and windows os expert | penetration testing | vulnerability assessment | metasploit | burp suite | nmap | sqlmap | wireshark | cryptography | ssl | tls | malware analysis | reverse engineering | compliance frameworks | leadership | project management | analytical skills | ethical hacking | network security | linux | windows security,job_dataset
Ethical Hacker,python basics | bash scripting basics | networking fundamentals | linux (kali linux | parrot os) basics | windows security basics | introduction to penetration testing | vulnerability scanning basics | web application security basics | familiarity with metasploit and burp suite | cryptography fundamentals | problem-solving | communication | ethical compliance | ethical hacking | penetration testing | network security | python | linux | windows security | metasploit | burp suite | cryptography | web security,job_dataset
MLOps Engineer,machine learning | nlp | deep learning | statistics,global_ai_jobs_dataset
Ethical Hacker,python | c | c++ | javascript | bash | powershell scripting | network and web security expert | linux and windows security | penetration testing | vulnerability assessment | metasploit | burp suite | nmap | wireshark | sqlmap | cryptography | ssl | tls | malware analysis and reverse engineering | compliance (nist | iso) | leadership | analytical skills | communication | ethical hacking | network security | linux | windows security | malware analysis,job_dataset
Blockchain Developer,java basics | python basics | c++ basics | solidity basics | ethereum basics | hyperledger basics | corda basics | smart contracts basics | cryptography fundamentals | dapps fundamentals | git | truffle | remix ide | problem-solving | communication | teamwork | blockchain | ethereum | solidity | smart contracts | cryptography | dapps | hyperledger | corda,job_dataset
AI Researcher,nlp | machine learning | statistics | python,global_ai_jobs_dataset
MLOps Engineer,python | statistics | deep learning | data analysis,global_ai_jobs_dataset
Blockchain Developer,java basics | python basics | c++ basics | solidity basics | ethereum basics | hyperledger basics | smart contract testing | cryptography basics | dapps fundamentals | git | truffle | remix ide | problem-solving | communication | collaboration | blockchain | ethereum | solidity | smart contracts | cryptography | dapps | hyperledger | corda,job_dataset
Data Engineer,python | java basics | sql | postgresql | mongodb | hadoop basics | spark basics | etl fundamentals | aws basics | azure fundamentals | etl | big data | aws | hadoop | data engineering fundamentals,job_dataset
Machine Learning Engineer,sql | python | computer vision | pytorch,global_ai_jobs_dataset
Blockchain Developer,java basics | python basics | c++ basics | solidity basics | ethereum fundamentals | hyperledger basics | corda basics | smart contract implementation | cryptography fundamentals | dapps basics | git | truffle | remix ide | problem-solving | teamwork | collaboration | blockchain | ethereum | solidity | smart contracts | cryptography | dapps | hyperledger | corda,job_dataset
Ethical Hacker,advanced python | c | c++ | javascript | bash | powershell scripting | network and web security | linux expert | windows security and ad | penetration testing | vulnerability assessment | metasploit | burp suite | nmap | wireshark | cryptography | ssl | tls | malware analysis and reverse engineering | security frameworks (nist | iso) | leadership | problem-solving | communication | compliance awareness | ethical hacking | network security | python | linux | windows security | malware analysis,job_dataset
AI Researcher,tensorflow | statistics | computer vision | python,global_ai_jobs_dataset
AI Engineer,python | computer vision | data analysis | sql,global_ai_jobs_dataset
AI Engineer,pytorch | deep learning | nlp | statistics,global_ai_jobs_dataset
Data Engineer,python | java | sql | mongodb | airflow basics | aws basics | linux | etl | airflow | aws,job_dataset
Data Analyst,python | tensorflow | data analysis | pytorch,global_ai_jobs_dataset
AI Researcher,machine learning | computer vision | data analysis | sql,global_ai_jobs_dataset
Site Reliability Engineer,python | go | java | bash | zsh scripting | linux expert | windows server | cloud expert (aws | azure | gcp) | docker | kubernetes | ci | cd pipelines (jenkins | github actions) | iac (terraform | ansible | puppet) | monitoring & logging (prometheus | grafana | elk | nagios | splunk) | networking (tcp | ip | dns | cdn | load balancing) | automation | distributed systems | security compliance | problem-solving | leadership | collaboration | communication | linux | aws | terraform | cd | monitoring,job_dataset
Web Developer,javascript | vue.js | node.js | express.js | sql | redis | docker | aws | ci | cd | testing with jest | enzyme | jest,job_dataset
NLP Engineer,pytorch | tensorflow | computer vision | data analysis,global_ai_jobs_dataset
Data Scientist,statistics | python | computer vision | pytorch,global_ai_jobs_dataset
Data Analyst,sql | deep learning | computer vision | nlp,global_ai_jobs_dataset
Data Engineer,python | scala | java | sql optimization | apache spark | kafka | airflow | aws s3 | redshift | sql | spark | etl | aws | data warehousing,job_dataset
NLP Engineer,nlp | machine learning | deep learning | pytorch,global_ai_jobs_dataset
Blockchain Developer,java advanced | python advanced | solidity advanced | rust basics | ethereum | hyperledger fabric | corda | smart contract optimization | cryptography advanced | scalable dapps | cross-chain development | git advanced | truffle advanced | remix ide advanced | leadership | collaboration | problem-solving | blockchain architecture | multi-chain | cross-chain | cryptography | consensus algorithms | hyperledger | security audits,job_dataset
Prompt Engineer,machine learning | data analysis | computer vision | tensorflow,global_ai_jobs_dataset
Data Scientist,computer vision | data analysis | deep learning | python,global_ai_jobs_dataset
Prompt Engineer,computer vision | deep learning | machine learning | nlp,global_ai_jobs_dataset
Data Scientist,computer vision | deep learning | nlp | python,global_ai_jobs_dataset
Prompt Engineer,python | computer vision | tensorflow | data analysis,global_ai_jobs_dataset
MLOps Engineer,deep learning | python | statistics | nlp,global_ai_jobs_dataset
MLOps Engineer,sql | nlp | python | statistics,global_ai_jobs_dataset
Ethical Hacker,python | c | c++ | javascript advanced | bash | powershell scripting | network and application security expert | linux and windows os expert | penetration testing | vulnerability assessment | metasploit | burp suite | nmap | sqlmap | wireshark | cryptography | ssl | tls | malware analysis | reverse engineering | compliance frameworks | leadership | project management | analytical skills | ethical hacking | network security | linux | windows security,job_dataset
MLOps Engineer,tensorflow | deep learning | python | data analysis,global_ai_jobs_dataset
Data Analyst,data analysis | statistics | python | machine learning,global_ai_jobs_dataset
AI Engineer,machine learning | python | pytorch | nlp,global_ai_jobs_dataset
.NET Developer,c# | .net framework basics | asp.net | razor | html | css | javascript basics | sql server | entity framework basics | nunit basics | .net | asp.net mvc | entity framework | unit testing,job_dataset
Java Developer,core java | basic rest api knowledge | version control (git) | problem solving | java | rest apis | git,job_dataset
Web Developer,html5 | css3 | javascript | react basics | angular basics | node.js basics | php basics | git | github basics | mysql basics | mongodb basics | restful apis | ajax | responsive design | ui | ux fundamentals | react | angular | node.js | php,job_dataset
Computer Vision Engineer,data analysis | computer vision | python | pytorch,global_ai_jobs_dataset
Data Scientist,statistics | nlp | data analysis | sql,global_ai_jobs_dataset
Java Developer,system design | microservices | spring boot | kubernetes | leadership | java,job_dataset
Java Developer,core java | oop | inheritance | polymorphism | encapsulation | exception handling | collections framework | java i | o | networking basics | git | java | collections | teamwork,job_dataset
Computer Vision Engineer,python | pytorch | tensorflow | machine learning,global_ai_jobs_dataset
Site Reliability Engineer,python advanced | go | java | bash scripting expert | linux | windows administration | cloud platforms (aws | azure | gcp) | docker | kubernetes | ci | cd pipelines (jenkins | bamboo | github actions) | infrastructure as code (terraform | ansible | puppet) | monitoring (prometheus | grafana | elk stack | nagios | splunk) | networking (tcp | ip | dns | load balancing | cdn) | automation scripting | distributed systems architecture | security and compliance basics | problem-solving | leadership | collaboration | communication | python | aws | terraform | cd | prometheus | distributed systems,job_dataset
Web Developer,javascript | typescript | angular | node.js | express.js | django | sql | redis | docker | aws | ci | cd | testing with jest | jest,job_dataset
Machine Learning Engineer,tensorflow | python | nlp | sql,global_ai_jobs_dataset
Site Reliability Engineer,python advanced | go | java | bash scripting | linux | windows administration | aws | azure | gcp | docker | kubernetes | ci | cd pipelines (jenkins | github actions) | infrastructure as code (terraform | ansible | puppet) | monitoring (prometheus | grafana | elk stack | nagios | splunk) | networking (tcp | ip | dns | load balancing | cdn) | automation scripting | distributed systems | security and compliance | problem-solving | leadership | collaboration | communication | python | terraform | cd | monitoring,job_dataset
Data Scientist,computer vision | nlp | statistics | sql,global_ai_jobs_dataset
Machine Learning Engineer,statistics | data analysis | tensorflow | computer vision,global_ai_jobs_dataset
MLOps Engineer,python | machine learning | sql | statistics,global_ai_jobs_dataset
Data Engineer,sql | python | java basics | mongodb | hadoop basics | data structures | etl tools introduction | etl | data warehousing,job_dataset
MLOps Engineer,statistics | python | sql | data analysis,global_ai_jobs_dataset
.NET Developer,c# | .net core | asp.net mvc | blazor | angular | sql server | dapper,job_dataset
