Candidate_ID,Career,Skills,Education,Experience_Level,Experience_Years,Certification,RIASEC_Realistic,RIASEC_Investigative,RIASEC_Artistic,RIASEC_Social,RIASEC_Enterprising,RIASEC_Conventional
C0024,VLSI Engineer,"ASIC Design, CMOS Technology, DFT (Design for Testability), Static Timing Analysis (STA), Digital Logic Design, SystemVerilog, VHDL, RTL Design, Verilog",M.S. VLSI and Embedded Systems,Mid-level (3-6 yrs),5.3,None,3.09,3.76,1.86,1.12,2.48,3.6
C0025,VLSI Engineer,"SystemVerilog, Signal Integrity, Timing Closure, RTL Design, Verilog, Physical Design, Place and Route, Analog IC Design, CMOS Technology, VHDL, Digital Logic Design, Static Timing Analysis (STA), ASIC Design",B.E. Electronics Engineering,Entry-level (0-1 yrs / Fresher),0.5,ASIC Verification Certification,4.32,4.43,1.57,1.83,1.75,3.94
C0026,VLSI Engineer,"Digital Logic Design, Verilog, VHDL, RTL Design, CMOS Technology, Cadence Virtuoso, UVM Verification, Low Power Design, Semiconductor Physics, Synopsys Design Compiler, Analog IC Design, Logic Synthesis",B.E./B.Tech Electronics and Communication Engineering,Mid-level (3-6 yrs),5.6,None,3.9,3.88,1.82,1.48,1.95,3.31
C0027,VLSI Engineer,"Physical Design, Analog IC Design, RTL Design, Timing Closure, Logic Synthesis, VHDL, Cadence Virtuoso, Digital Logic Design, Place and Route, Verilog, Synopsys Design Compiler, CMOS Technology",M.S. VLSI and Embedded Systems,Senior (6-10 yrs),7.8,VLSI Design Certification (VSD/IIT),4.14,4.56,1.88,1.48,1.91,3.08
C0028,VLSI Engineer,"RTL Design, Semiconductor Physics, Verilog, Low Power Design, UVM Verification, Timing Closure, Synopsys Design Compiler, DFT (Design for Testability), Analog IC Design, Cadence Virtuoso, VHDL, Digital Logic Design, CMOS Technology",B.E. Electronics Engineering,Mid-level (3-6 yrs),5.9,None,3.79,4.76,1.8,2.39,2.39,3.39
C0029,VLSI Engineer,"Semiconductor Physics, Digital Logic Design, UVM Verification, RTL Design, CMOS Technology, Verilog, Place and Route, VHDL, Cadence Virtuoso",M.S. VLSI and Embedded Systems,Mid-level (3-6 yrs),3.6,VLSI Design Certification (VSD/IIT),3.89,5.0,2.11,1.9,1.78,3.33
C0030,VLSI Engineer,"Verilog, Cadence Virtuoso, RTL Design, Place and Route, Semiconductor Physics, ASIC Design, CMOS Technology, VHDL, Digital Logic Design",M.S. VLSI and Embedded Systems,Senior (6-10 yrs),7.2,None,3.71,4.92,1.49,1.38,2.56,3.21
C0031,VLSI Engineer,"Synopsys Design Compiler, FPGA Design, Timing Closure, CMOS Technology, Logic Synthesis, Digital Logic Design, Verilog, RTL Design, VHDL, Static Timing Analysis (STA)",M.Tech VLSI Design,Mid-level (3-6 yrs),5.1,None,4.16,4.53,1.94,2.51,1.69,2.91
C0032,VLSI Engineer,"Digital Logic Design, Static Timing Analysis (STA), Low Power Design, FPGA Design, UVM Verification, DFT (Design for Testability), Verilog, VHDL, RTL Design, CMOS Technology",M.S. VLSI and Embedded Systems,Mid-level (3-6 yrs),5.1,ASIC Verification Certification,3.43,4.4,2.1,1.86,1.98,3.45
C0033,VLSI Engineer,"RTL Design, DFT (Design for Testability), SystemVerilog, UVM Verification, Digital Logic Design, VHDL, FPGA Design, Place and Route, CMOS Technology, Verilog, Low Power Design",M.S. VLSI and Embedded Systems,Senior (6-10 yrs),9.9,None,3.69,4.69,1.62,1.11,2.0,3.84
C0034,VLSI Engineer,"Synopsys Design Compiler, RTL Design, Xilinx Vivado, Timing Closure, Digital Logic Design, CMOS Technology, Cadence Virtuoso, Verilog, ASIC Design, VHDL, Signal Integrity",B.E. Electronics Engineering,Senior (6-10 yrs),8.5,VLSI Design Certification (VSD/IIT),4.05,4.88,2.39,1.61,2.23,3.11
C0035,VLSI Engineer,"Verilog, ASIC Design, SystemVerilog, Synopsys Design Compiler, CMOS Technology, Logic Synthesis, DFT (Design for Testability), Xilinx Vivado, RTL Design, Physical Design, Place and Route, VHDL, Digital Logic Design",M.S. VLSI and Embedded Systems,Junior (1-3 yrs),1.9,None,3.23,5.0,1.18,1.76,2.51,3.06
C0036,VLSI Engineer,"Verilog, UVM Verification, VHDL, Low Power Design, Timing Closure, Analog IC Design, Digital Logic Design, RTL Design, Logic Synthesis, Cadence Virtuoso, SystemVerilog, CMOS Technology",M.S. VLSI and Embedded Systems,Mid-level (3-6 yrs),5.6,None,3.64,4.27,2.02,1.68,2.28,2.68
C0037,VLSI Engineer,"CMOS Technology, Cadence Virtuoso, RTL Design, Digital Logic Design, SystemVerilog, Place and Route, Verilog, FPGA Design, Logic Synthesis, ModelSim, VHDL, Signal Integrity",B.E./B.Tech Electronics and Communication Engineering,Senior (6-10 yrs),9.1,ASIC Verification Certification,3.58,4.92,1.54,1.17,2.78,2.67
C0038,VLSI Engineer,"RTL Design, Place and Route, Semiconductor Physics, Timing Closure, ASIC Design, UVM Verification, Verilog, ModelSim, VHDL, Digital Logic Design, CMOS Technology, Static Timing Analysis (STA)",B.E./B.Tech Electronics and Communication Engineering,Entry-level (0-1 yrs / Fresher),0.3,VLSI Design Certification (VSD/IIT),3.8,4.77,2.3,2.19,1.65,3.01
C0039,VLSI Engineer,"CMOS Technology, Verilog, FPGA Design, Synopsys Design Compiler, Place and Route, UVM Verification, VHDL, RTL Design, Signal Integrity, Digital Logic Design",M.S. VLSI and Embedded Systems,Mid-level (3-6 yrs),5.0,None,4.76,4.83,2.34,1.77,2.9,3.16
C0040,VLSI Engineer,"VHDL, Signal Integrity, Static Timing Analysis (STA), RTL Design, Digital Logic Design, ASIC Design, Verilog, Low Power Design, CMOS Technology, Place and Route, DFT (Design for Testability), Physical Design",M.S. VLSI and Embedded Systems,Mid-level (3-6 yrs),5.3,None,3.61,4.17,1.64,1.38,2.02,2.73
C0041,Electronics Engineer,"PCB Layout, PCB Design, MATLAB, Analog Electronics, Digital Electronics, Microcontrollers, Circuit Design, Soldering and Assembly, OrCAD",Diploma in Electronics Engineering,Senior (6-10 yrs),6.7,Embedded Systems Certification,4.29,2.9,1.59,2.25,2.07,3.24
C0042,Electronics Engineer,"Analog Electronics, Oscilloscope Testing, Signal Processing Basics, PCB Layout, Embedded C, Control Systems, Circuit Design, Circuit Simulation (SPICE), Soldering and Assembly, PCB Design, Digital Electronics",M.Tech Electronics,Mid-level (3-6 yrs),5.0,PCB Design Certification,3.46,3.32,2.08,1.83,2.11,3.09
C0043,Electronics Engineer,"Embedded C, PCB Layout, MATLAB, Eagle CAD, PCB Design, Multisim, OrCAD, Circuit Design, Digital Electronics, Analog Electronics, Oscilloscope Testing, Control Systems",B.E. Electrical and Electronics Engineering,Senior (6-10 yrs),7.8,None,3.55,3.36,2.34,1.52,2.38,2.52
C0044,Electronics Engineer,"PCB Layout, OrCAD, Circuit Design, Signal Processing Basics, Embedded C, Digital Electronics, Control Systems, Analog Electronics, Circuit Simulation (SPICE), PCB Design",Diploma in Electronics Engineering,Junior (1-3 yrs),2.9,None,4.33,3.85,1.22,1.08,2.44,3.11
C0045,Electronics Engineer,"Electromagnetics, Circuit Design, Power Electronics, Embedded C, Digital Electronics, Analog Electronics, Soldering and Assembly, Sensors and Actuators, PCB Design",Diploma in Electronics Engineering,Junior (1-3 yrs),3.0,PCB Design Certification,4.16,3.52,2.04,1.74,1.66,3.55
C0046,Electronics Engineer,"Power Electronics, PCB Layout, Digital Electronics, PCB Design, Circuit Design, Altium Designer, MATLAB, Microcontrollers, Soldering and Assembly, Eagle CAD, Sensors and Actuators, Analog Electronics",B.E./B.Tech Electronics and Communication Engineering,Mid-level (3-6 yrs),4.4,None,4.52,3.87,1.4,2.25,1.22,3.05
C0047,Electronics Engineer,"Circuit Design, PCB Design, Oscilloscope Testing, Signal Processing Basics, Altium Designer, Digital Electronics, Multisim, Analog Electronics",M.Tech Electronics,Senior (6-10 yrs),6.4,None,4.45,3.24,1.98,1.27,2.2,3.43
C0048,Electronics Engineer,"Signal Processing Basics, Circuit Design, Control Systems, Soldering and Assembly, Power Electronics, PCB Design, Digital Electronics, Analog Electronics, Multisim",M.Tech Electronics,Entry-level (0-1 yrs / Fresher),0.1,None,4.25,3.8,1.85,1.17,1.6,2.82
C0049,Electronics Engineer,"Circuit Design, PCB Design, Digital Electronics, Signal Processing Basics, Power Electronics, Embedded C, Electromagnetics, Analog Electronics, Multisim, Microcontrollers, PCB Layout, MATLAB",B.E. Electrical and Electronics Engineering,Entry-level (0-1 yrs / Fresher),0.4,PCB Design Certification,4.34,3.91,1.96,2.32,1.47,2.74
C0050,Electronics Engineer,"Eagle CAD, Digital Electronics, Circuit Simulation (SPICE), PCB Design, Altium Designer, MATLAB, Analog Electronics, Circuit Design, Multisim, Oscilloscope Testing, Microcontrollers, Electromagnetics",B.E./B.Tech Electronics and Communication Engineering,Entry-level (0-1 yrs / Fresher),0.7,Embedded Systems Certification,3.79,4.01,2.09,2.19,1.67,3.85
C0051,Electronics Engineer,"Oscilloscope Testing, PCB Layout, Embedded C, Circuit Design, Analog Electronics, Digital Electronics, PCB Design, Electromagnetics, Soldering and Assembly, Microcontrollers, Multisim, Altium Designer",B.E./B.Tech Electronics and Communication Engineering,Mid-level (3-6 yrs),5.0,None,3.76,3.64,2.11,3.03,2.35,3.09
C0052,Electronics Engineer,"Digital Electronics, Eagle CAD, Soldering and Assembly, Signal Processing Basics, Multisim, Electromagnetics, PCB Design, Circuit Design, Analog Electronics",B.E. Electrical and Electronics Engineering,Mid-level (3-6 yrs),3.2,None,3.69,3.87,2.21,2.06,1.73,3.18
C0053,Electronics Engineer,"Altium Designer, Oscilloscope Testing, Digital Electronics, PCB Design, Signal Processing Basics, Circuit Design, Multisim, Power Electronics, Analog Electronics, Embedded C, Microcontrollers",B.E./B.Tech Electronics and Communication Engineering,Senior (6-10 yrs),9.5,PCB Design Certification,4.22,4.38,2.4,2.16,1.84,2.95
C0054,Electronics Engineer,"PCB Design, Circuit Design, Altium Designer, Multisim, MATLAB, Soldering and Assembly, OrCAD, Circuit Simulation (SPICE), Digital Electronics, Analog Electronics",B.E. Electrical and Electronics Engineering,Senior (6-10 yrs),7.9,None,3.75,2.95,1.17,1.0,1.63,3.95
C0055,Electronics Engineer,"Control Systems, PCB Design, Analog Electronics, Embedded C, PCB Layout, Electromagnetics, Digital Electronics, Circuit Design, MATLAB, Eagle CAD",B.E./B.Tech Electronics and Communication Engineering,Entry-level (0-1 yrs / Fresher),0.4,PCB Design Certification,4.81,4.07,2.24,1.46,1.65,2.98
C0056,Electronics Engineer,"PCB Design, Control Systems, Embedded C, PCB Layout, OrCAD, Signal Processing Basics, Electromagnetics, Analog Electronics, Oscilloscope Testing, Circuit Design, Digital Electronics, MATLAB",M.Tech Electronics,Senior (6-10 yrs),8.1,Embedded Systems Certification,3.51,4.38,1.38,2.35,2.04,2.88
C0057,Electronics Engineer,"Signal Processing Basics, Embedded C, PCB Design, Analog Electronics, MATLAB, Circuit Design, Sensors and Actuators, Digital Electronics, Power Electronics, Altium Designer",M.Tech Electronics,Junior (1-3 yrs),2.2,None,3.96,4.06,2.09,1.19,1.74,2.34
C0058,Electronics Engineer,"Microcontrollers, Signal Processing Basics, Circuit Design, Soldering and Assembly, Sensors and Actuators, PCB Layout, Analog Electronics, Power Electronics, MATLAB, PCB Design, Digital Electronics, Altium Designer",B.E./B.Tech Electronics and Communication Engineering,Entry-level (0-1 yrs / Fresher),0.7,Embedded Systems Certification,3.91,3.57,2.16,2.46,1.49,2.39
C0059,Electronics Engineer,"Signal Processing Basics, Power Electronics, Circuit Design, Circuit Simulation (SPICE), Digital Electronics, Analog Electronics, Control Systems, PCB Design, MATLAB, Embedded C, OrCAD",M.Tech Electronics,Senior (6-10 yrs),9.1,None,3.68,3.69,2.04,2.13,1.46,2.5
C0060,Electronics Engineer,"Sensors and Actuators, PCB Design, Signal Processing Basics, Digital Electronics, Circuit Design, Multisim, Soldering and Assembly, Analog Electronics",Diploma in Electronics Engineering,Senior (6-10 yrs),9.6,Embedded Systems Certification,4.19,3.55,2.52,1.51,2.79,2.39
C0061,Electronics Engineer,"PCB Layout, Embedded C, Sensors and Actuators, Analog Electronics, Digital Electronics, Signal Processing Basics, OrCAD, Multisim, Circuit Design, PCB Design, Power Electronics",Diploma in Electronics Engineering,Senior (6-10 yrs),8.8,Embedded Systems Certification,4.12,3.25,1.25,1.32,2.38,3.03
C0062,Electronics Engineer,"Embedded C, Digital Electronics, Electromagnetics, OrCAD, PCB Design, Eagle CAD, Circuit Design, Analog Electronics, Soldering and Assembly",M.Tech Electronics,Entry-level (0-1 yrs / Fresher),0.6,Embedded Systems Certification,4.03,3.37,2.27,1.9,1.87,2.89
C0063,Electronics Engineer,"Circuit Simulation (SPICE), Digital Electronics, Analog Electronics, Embedded C, Soldering and Assembly, Sensors and Actuators, PCB Design, Circuit Design",B.E./B.Tech Electronics and Communication Engineering,Mid-level (3-6 yrs),5.4,PCB Design Certification,4.13,4.28,2.32,2.22,2.11,2.79
C0064,Electronics Engineer,"Control Systems, MATLAB, Analog Electronics, Multisim, PCB Design, Soldering and Assembly, Circuit Design, PCB Layout, Digital Electronics, Altium Designer",B.E./B.Tech Electronics and Communication Engineering,Junior (1-3 yrs),2.8,PCB Design Certification,4.54,3.5,2.4,1.87,2.09,3.67
C0065,Electronics Engineer,"Soldering and Assembly, Analog Electronics, Microcontrollers, Electromagnetics, PCB Design, Digital Electronics, Circuit Design, Oscilloscope Testing, Signal Processing Basics",M.Tech Electronics,Mid-level (3-6 yrs),5.9,None,3.96,3.34,1.99,1.6,2.47,3.21
C0066,Electronics Engineer,"Circuit Design, Eagle CAD, Digital Electronics, Analog Electronics, PCB Design, Sensors and Actuators, Embedded C, Multisim, Circuit Simulation (SPICE), Signal Processing Basics, Electromagnetics",Diploma in Electronics Engineering,Senior (6-10 yrs),6.2,PCB Design Certification,3.78,3.42,1.45,1.36,2.66,3.21
C0067,Electronics Engineer,"Sensors and Actuators, PCB Design, Circuit Simulation (SPICE), Microcontrollers, Electromagnetics, MATLAB, Analog Electronics, Circuit Design, Multisim, Altium Designer, Digital Electronics",B.E./B.Tech Electronics and Communication Engineering,Junior (1-3 yrs),2.4,PCB Design Certification,3.63,4.19,1.46,1.68,1.64,3.35
C0068,Electronics Engineer,"Microcontrollers, Analog Electronics, PCB Design, Altium Designer, Digital Electronics, Circuit Design, OrCAD, Circuit Simulation (SPICE), Control Systems",B.E. Electrical and Electronics Engineering,Mid-level (3-6 yrs),5.1,None,4.17,3.91,2.12,2.01,1.79,1.66
C0069,Electronics Engineer,"PCB Design, Multisim, Circuit Design, Analog Electronics, Eagle CAD, Sensors and Actuators, Embedded C, Electromagnetics, Digital Electronics, Circuit Simulation (SPICE)",B.E. Electrical and Electronics Engineering,Junior (1-3 yrs),2.6,None,3.77,4.1,1.0,2.13,2.67,3.6
C0070,Electronics Engineer,"Digital Electronics, Analog Electronics, Circuit Simulation (SPICE), Circuit Design, Power Electronics, PCB Design, Oscilloscope Testing, Soldering and Assembly",B.E./B.Tech Electronics and Communication Engineering,Senior (6-10 yrs),7.9,PCB Design Certification,4.62,4.24,1.39,1.73,2.12,2.79
C0071,Electronics Engineer,"Eagle CAD, Circuit Simulation (SPICE), Sensors and Actuators, Analog Electronics, Digital Electronics, Circuit Design, Multisim, Embedded C, Altium Designer, Oscilloscope Testing, PCB Design, Soldering and Assembly",B.E. Electrical and Electronics Engineering,Mid-level (3-6 yrs),4.8,None,3.86,3.7,2.12,1.82,1.75,2.46
C0072,Electronics Engineer,"Microcontrollers, Analog Electronics, Electromagnetics, Digital Electronics, MATLAB, Soldering and Assembly, Eagle CAD, Circuit Design, Oscilloscope Testing, Embedded C, PCB Design, Circuit Simulation (SPICE)",M.Tech Electronics,Junior (1-3 yrs),2.6,None,4.05,3.85,2.3,2.06,1.83,3.03
C0073,Electronics Engineer,"Circuit Simulation (SPICE), Eagle CAD, Soldering and Assembly, Digital Electronics, Circuit Design, PCB Design, Electromagnetics, Altium Designer, Analog Electronics, Power Electronics, PCB Layout, Signal Processing Basics",B.E. Electrical and Electronics Engineering,Entry-level (0-1 yrs / Fresher),0.1,None,4.37,3.39,2.74,1.7,2.46,2.14
C0074,Electronics Engineer,"Analog Electronics, Digital Electronics, Electromagnetics, Sensors and Actuators, PCB Design, Altium Designer, Circuit Design, PCB Layout, Power Electronics, Control Systems",Diploma in Electronics Engineering,Entry-level (0-1 yrs / Fresher),0.1,None,3.47,3.26,1.75,1.61,2.29,3.01
C0075,Electronics Engineer,"Power Electronics, Digital Electronics, Signal Processing Basics, Analog Electronics, Sensors and Actuators, Electromagnetics, PCB Design, Circuit Design, Circuit Simulation (SPICE)",B.E./B.Tech Electronics and Communication Engineering,Senior (6-10 yrs),8.0,PCB Design Certification,4.35,3.2,1.74,1.77,2.42,3.22
C0076,Electronics Engineer,"Electromagnetics, PCB Design, Circuit Simulation (SPICE), Digital Electronics, Analog Electronics, Sensors and Actuators, OrCAD, Circuit Design, Oscilloscope Testing, Altium Designer",B.E. Electrical and Electronics Engineering,Junior (1-3 yrs),1.7,PCB Design Certification,4.74,4.74,1.88,1.56,1.71,3.64
C0077,Electronics Engineer,"Circuit Simulation (SPICE), Eagle CAD, Microcontrollers, Soldering and Assembly, Digital Electronics, PCB Design, Control Systems, Circuit Design, Multisim, Oscilloscope Testing, Analog Electronics, Signal Processing Basics",M.Tech Electronics,Junior (1-3 yrs),2.0,None,4.46,4.18,2.85,2.09,2.16,3.05
C0078,Electronics Engineer,"Multisim, PCB Design, Digital Electronics, Power Electronics, Soldering and Assembly, Analog Electronics, Altium Designer, Circuit Design, Circuit Simulation (SPICE), OrCAD",M.Tech Electronics,Senior (6-10 yrs),7.3,Embedded Systems Certification,3.62,3.82,1.32,1.73,2.51,2.55
C0079,Electronics Engineer,"Circuit Design, Eagle CAD, PCB Layout, Digital Electronics, Electromagnetics, Analog Electronics, OrCAD, Sensors and Actuators, Multisim, PCB Design",Diploma in Electronics Engineering,Mid-level (3-6 yrs),3.4,None,4.42,3.46,1.51,2.47,2.17,3.09
C0080,Electronics Engineer,"Circuit Design, Control Systems, Digital Electronics, MATLAB, Analog Electronics, PCB Design, PCB Layout, Circuit Simulation (SPICE)",Diploma in Electronics Engineering,Junior (1-3 yrs),1.2,Embedded Systems Certification,4.13,4.29,1.34,1.79,2.49,3.13
C0081,Embedded Systems Engineer,"Microcontroller Programming, Embedded C, C++, Device Drivers, Embedded Linux, RTOS (FreeRTOS/VxWorks), Yocto Project, ARM Cortex-M/A, Assembly Language, I2C/SPI/UART Protocols, Git",B.E./B.Tech Electronics and Communication Engineering,Junior (1-3 yrs),2.1,ARM Accredited Engineer,3.91,3.87,1.98,1.73,3.6,2.74
C0082,Embedded Systems Engineer,"I2C/SPI/UART Protocols, Bootloader Development, Embedded C, Yocto Project, Interrupt Handling, ARM Cortex-M/A, RTOS (FreeRTOS/VxWorks), Board Bring-up, Microcontroller Programming, C++, Git",M.Tech Embedded Systems,Junior (1-3 yrs),2.6,Embedded Linux Certification,3.93,4.38,1.79,2.16,2.34,2.69
C0083,Embedded Systems Engineer,"Real-Time Systems Design, Git, Embedded Linux, Embedded C, Bare-metal Programming, I2C/SPI/UART Protocols, ARM Cortex-M/A, Interrupt Handling, RTOS (FreeRTOS/VxWorks), Keil/IAR Embedded Workbench, JTAG Debugging, Microcontroller Programming",B.E. Computer Science Engineering,Senior (6-10 yrs),9.0,Embedded Linux Certification,3.49,4.61,2.38,1.94,2.35,3.27
C0084,Embedded Systems Engineer,"Microcontroller Programming, I2C/SPI/UART Protocols, ARM Cortex-M/A, Bare-metal Programming, RTOS (FreeRTOS/VxWorks), Embedded C, Bootloader Development, Board Bring-up",B.E. Computer Science Engineering,Junior (1-3 yrs),2.0,None,3.69,3.45,1.36,2.15,1.91,3.49
C0085,Embedded Systems Engineer,"Microcontroller Programming, ARM Cortex-M/A, Embedded Linux, Embedded C, RTOS (FreeRTOS/VxWorks), JTAG Debugging, Git, Interrupt Handling, Device Drivers",B.E./B.Tech Electronics and Communication Engineering,Junior (1-3 yrs),2.1,None,4.1,4.67,1.24,2.12,2.3,2.95
