O*NET-SOC Code,Career,Essential_Skills,Software_Skills,Job_Description,Education_Level,Experience_Level,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,Combined_Text
11-3021.00,Computer and Information Systems Managers,"Critical Thinking, Reading Comprehension, Active Listening, Speaking, Monitoring, Writing, Active Learning, Learning Strategies, Mathematics, Science","ACT! Premium, Adobe Distiller, Adobe Flex, Advanced business application programming ABAP, Alpha Four, Amazon Web Services AWS software, Apache Cassandra, Apache Hadoop, Apache HTTP Server, Apache Maven, Apache Pig, Apache Solr, Apache Tomcat, Apple Final Cut Pro, Apple iMovie, Apple iWork Keynote, Apple iWork Numbers, Apple iWork Pages, Apple macOS, Atlassian JIRA","Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",8.3325,9.090000000000002,2.68,4.49,1.47,2.35,5.09,5.94,"Career: Computer and Information Systems Managers Skills: Critical Thinking, Reading Comprehension, Active Listening, Speaking, Monitoring, Writing, Active Learning, Learning Strategies, Mathematics, Science Software: ACT! Premium, Adobe Distiller, Adobe Flex, Advanced business application programming ABAP, Alpha Four, Amazon Web Services AWS software, Apache Cassandra, Apache Hadoop, Apache HTTP Server, Apache Maven, Apache Pig, Apache Solr, Apache Tomcat, Apple Final Cut Pro, Apple iMovie, Apple iWork Keynote, Apple iWork Numbers, Apple iWork Pages, Apple macOS, Atlassian JIRA Description: Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming."
11-3031.00,Financial Managers,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Writing, Monitoring, Mathematics, Active Learning, Learning Strategies, Science","Accounts receivable software, Adobe Acrobat, ADP Workforce Now, Alteryx software, ARES Corporation PRISM Project Estimator, Blackbaud The Raiser's Edge, Credit management software, Database software, Delphi Technology, FileMaker Pro, Fund accounting software, Healthcare common procedure coding system HCPCS, Human resource information system (HRIS), Human resource management software HRMS, IBM Cognos Impromptu, IBM Notes, IBM Power Systems software, IBM SPSS Statistics, Intuit QuickBooks, LexisNexis","Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",8.334166666666667,9.090909090909092,1.36,2.46,1.59,3.04,7.0,5.56,"Career: Financial Managers Skills: Reading Comprehension, Active Listening, Speaking, Critical Thinking, Writing, Monitoring, Mathematics, Active Learning, Learning Strategies, Science Software: Accounts receivable software, Adobe Acrobat, ADP Workforce Now, Alteryx software, ARES Corporation PRISM Project Estimator, Blackbaud The Raiser's Edge, Credit management software, Database software, Delphi Technology, FileMaker Pro, Fund accounting software, Healthcare common procedure coding system HCPCS, Human resource information system (HRIS), Human resource management software HRMS, IBM Cognos Impromptu, IBM Notes, IBM Power Systems software, IBM SPSS Statistics, Intuit QuickBooks, LexisNexis Description: Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment."
11-3031.01,Treasurers and Controllers,"Reading Comprehension, Critical Thinking, Speaking, Active Listening, Monitoring, Mathematics, Writing, Active Learning, Learning Strategies, Science","ADERANT Expert Back Office, Powered by Keystone, ADP software, ADP Workforce Now, Automatic Data Processing PC payroll for windows PCPW, Blackbaud The Raiser's Edge, Corel QuattroPro, Deltek professional services software, Exact Software Macola ES, FileMaker Pro, Fund accounting software, Hyperion Enterprise, Hyperion Solutions System 9 Planning, Hypertext markup language HTML, IBM Cognos Impromptu, IBM Lotus 1-2-3, Infor ERP SyteLine, Intuit QuickBooks, Job costing software, Microsoft Access, Microsoft Dynamics","Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",8.333333333333334,9.090909090909092,1.0,2.2,1.17,2.68,6.15,6.44,"Career: Treasurers and Controllers Skills: Reading Comprehension, Critical Thinking, Speaking, Active Listening, Monitoring, Mathematics, Writing, Active Learning, Learning Strategies, Science Software: ADERANT Expert Back Office, Powered by Keystone, ADP software, ADP Workforce Now, Automatic Data Processing PC payroll for windows PCPW, Blackbaud The Raiser's Edge, Corel QuattroPro, Deltek professional services software, Exact Software Macola ES, FileMaker Pro, Fund accounting software, Hyperion Enterprise, Hyperion Solutions System 9 Planning, Hypertext markup language HTML, IBM Cognos Impromptu, IBM Lotus 1-2-3, Infor ERP SyteLine, Intuit QuickBooks, Job costing software, Microsoft Access, Microsoft Dynamics Description: Direct financial activities, such as planning, procurement, and investments for all or part of an organization."
11-3031.03,Investment Fund Managers,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Active Learning, Writing, Monitoring, Mathematics, Learning Strategies, Science","Autodesk AutoCAD Blue Sky, Financial accounting software, Microsoft Access, Microsoft Excel, Microsoft MapPoint, Microsoft Office software, Microsoft Outlook, Microsoft Power BI, Microsoft PowerPoint, Microsoft Project, Microsoft Visio, Microsoft Word, Oracle Hyperion, Oracle Hyperion Planning, Portfolio analysis software, ReadSoft, Risk analysis software, SAP software, SAS, Statistical analysis software","Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",8.334166666666667,9.09,1.48,3.77,1.65,2.69,6.95,5.21,"Career: Investment Fund Managers Skills: Reading Comprehension, Active Listening, Critical Thinking, Speaking, Active Learning, Writing, Monitoring, Mathematics, Learning Strategies, Science Software: Autodesk AutoCAD Blue Sky, Financial accounting software, Microsoft Access, Microsoft Excel, Microsoft MapPoint, Microsoft Office software, Microsoft Outlook, Microsoft Power BI, Microsoft PowerPoint, Microsoft Project, Microsoft Visio, Microsoft Word, Oracle Hyperion, Oracle Hyperion Planning, Portfolio analysis software, ReadSoft, Risk analysis software, SAP software, SAS, Statistical analysis software Description: Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors."
11-3051.00,Industrial Production Managers,"Speaking, Critical Thinking, Monitoring, Reading Comprehension, Active Listening, Learning Strategies, Active Learning, Writing, Mathematics, Science","ABB Optimize IT Predict & Control, Adobe Acrobat, Adobe After Effects, Adobe InDesign, Adobe Photoshop, Apple Final Cut Pro, Autodesk AutoCAD, AVEVA InTouch HMI, Citect IIM, CitectSCADA Reports, Clockware, Computer integrated manufacturing CIM software, Computer integrated manufacturing CIM time manager software, Computer integrated manufacturing CIM warehouse shipping manager software, Computerized maintenance management system CMMS, Database software, Distributed control system DCS, Eko, Email software, Employee performance management system","Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",8.3325,9.090000000000002,4.0,2.92,1.4,1.85,6.03,5.21,"Career: Industrial Production Managers Skills: Speaking, Critical Thinking, Monitoring, Reading Comprehension, Active Listening, Learning Strategies, Active Learning, Writing, Mathematics, Science Software: ABB Optimize IT Predict & Control, Adobe Acrobat, Adobe After Effects, Adobe InDesign, Adobe Photoshop, Apple Final Cut Pro, Autodesk AutoCAD, AVEVA InTouch HMI, Citect IIM, CitectSCADA Reports, Clockware, Computer integrated manufacturing CIM software, Computer integrated manufacturing CIM time manager software, Computer integrated manufacturing CIM warehouse shipping manager software, Computerized maintenance management system CMMS, Database software, Distributed control system DCS, Eko, Email software, Employee performance management system Description: Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."
11-3051.01,Quality Control Systems Managers,"Reading Comprehension, Active Listening, Writing, Speaking, Monitoring, Critical Thinking, Active Learning, Mathematics, Learning Strategies, Science","Abbott Informatics STARLIMS:LIMS, Adobe Acrobat, ASI DATAMYTE GageMetrics, ASI DATAMYTE QDA, ASIDATAMYTE DataMetrics, Atlassian JIRA, CAMA Software Quality Collaboration By Design QCBD, CEBOS MQ1 software, Computing Solutions LabSoft LIMS, Core Informatics Laboratory Information Management System LIMS, Database software, Eko, EtQ Reliance, Extensible markup language XML, Harrington Group caWeb, Harrington Group HQMS, Hewlett Packard LoadRunner, Illumina Laboratory Information Management System LIMS, Infinity QS ProFicient, Lablite Laboratory Information Management Systems LIMS","Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",8.333333333333334,9.090909090909092,3.58,4.12,1.28,2.07,5.09,5.42,"Career: Quality Control Systems Managers Skills: Reading Comprehension, Active Listening, Writing, Speaking, Monitoring, Critical Thinking, Active Learning, Mathematics, Learning Strategies, Science Software: Abbott Informatics STARLIMS:LIMS, Adobe Acrobat, ASI DATAMYTE GageMetrics, ASI DATAMYTE QDA, ASIDATAMYTE DataMetrics, Atlassian JIRA, CAMA Software Quality Collaboration By Design QCBD, CEBOS MQ1 software, Computing Solutions LabSoft LIMS, Core Informatics Laboratory Information Management System LIMS, Database software, Eko, EtQ Reliance, Extensible markup language XML, Harrington Group caWeb, Harrington Group HQMS, Hewlett Packard LoadRunner, Illumina Laboratory Information Management System LIMS, Infinity QS ProFicient, Lablite Laboratory Information Management Systems LIMS Description: Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts."
11-3051.02,Geothermal Production Managers,"Critical Thinking, Reading Comprehension, Speaking, Monitoring, Active Listening, Writing, Active Learning, Mathematics, Learning Strategies, Science","Data logging software, Infostat RIMBase, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Word, Personnel scheduling software",Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,8.332500000000001,9.090909090909092,5.35,3.35,1.0,2.07,4.58,4.82,"Career: Geothermal Production Managers Skills: Critical Thinking, Reading Comprehension, Speaking, Monitoring, Active Listening, Writing, Active Learning, Mathematics, Learning Strategies, Science Software: Data logging software, Infostat RIMBase, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Word, Personnel scheduling software Description: Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations."
11-3051.03,Biofuels Production Managers,"Reading Comprehension, Critical Thinking, Active Listening, Monitoring, Speaking, Writing, Learning Strategies, Active Learning, Mathematics, Science","Adobe Acrobat, Autodesk AutoCAD, Computerized maintenance management system CMMS, Distributed control system DCS, Employee scheduling software, Human machine interface HMI software, Inventory control software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Web browser software","Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",8.333333333333334,9.09,4.59,3.74,1.0,1.83,5.41,5.06,"Career: Biofuels Production Managers Skills: Reading Comprehension, Critical Thinking, Active Listening, Monitoring, Speaking, Writing, Learning Strategies, Active Learning, Mathematics, Science Software: Adobe Acrobat, Autodesk AutoCAD, Computerized maintenance management system CMMS, Distributed control system DCS, Employee scheduling software, Human machine interface HMI software, Inventory control software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Web browser software Description: Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures."
11-3051.04,Biomass Power Plant Managers,"Speaking, Critical Thinking, Reading Comprehension, Active Listening, Monitoring, Writing, Active Learning, Mathematics, Learning Strategies, Science","Computerized maintenance management system CMMS, Distributed control system DCS, Employee scheduling software, Inventory control software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word","Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",8.333333333333334,9.090909090909092,5.12,3.19,1.0,1.72,4.86,5.34,"Career: Biomass Power Plant Managers Skills: Speaking, Critical Thinking, Reading Comprehension, Active Listening, Monitoring, Writing, Active Learning, Mathematics, Learning Strategies, Science Software: Computerized maintenance management system CMMS, Distributed control system DCS, Employee scheduling software, Inventory control software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word Description: Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff."
11-3051.06,Hydroelectric Production Managers,"Active Listening, Speaking, Reading Comprehension, Monitoring, Critical Thinking, Active Learning, Learning Strategies, Writing, Mathematics, Science","Apache Kafka, Computerized maintenance management system CMMS, Distributed control system DCS, Email software, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft Word, Oracle Database, Personnel scheduling software, SAP software, Structure query language SQL, Supervisory control and data acquisition SCADA software, VMware",Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,8.3325,9.090909090909092,5.37,3.64,1.0,1.83,4.57,5.02,"Career: Hydroelectric Production Managers Skills: Active Listening, Speaking, Reading Comprehension, Monitoring, Critical Thinking, Active Learning, Learning Strategies, Writing, Mathematics, Science Software: Apache Kafka, Computerized maintenance management system CMMS, Distributed control system DCS, Email software, Microsoft Access, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft Word, Oracle Database, Personnel scheduling software, SAP software, Structure query language SQL, Supervisory control and data acquisition SCADA software, VMware Description: Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations."
