candidate_id,candidate_skills,rank,career,model_probability,model_score,skill_match_percentage,final_score,matched_skills,missing_skills
C003,"Verilog, VLSI, RTL Design, Digital Electronics",2,Computer Hardware Engineer,0.088169,8.82,10.0,9.17,digital electronics | verilog,bus architecture | circuit design | computer architecture | cpu architecture | embedded systems | fpga | hardware debugging | hardware testing | i2c | linux | memory systems | microcontrollers | microprocessors | pcb design | pcie | spi | uart | usb
C003,"Verilog, VLSI, RTL Design, Digital Electronics",3,Electronics Engineer,0.052516,5.25,5.0,5.18,digital electronics,analog electronics | circuit design | communication systems | electronics prototyping | embedded c | embedded systems | emi/emc | matlab | microcontrollers | multimeter | oscilloscopes | pcb design | power electronics | sensors | signal processing | soldering | spice | technical documentation | testing and debugging
C003,"Verilog, VLSI, RTL Design, Digital Electronics",4,Enterprise Architect,0.01028,1.03,0.0,0.72,,api design | business strategy | change management | cloud | communication | cost optimization | data architecture | digital transformation | documentation | enterprise architecture | governance | integration patterns | risk management | security | solution design | stakeholder management | system design | technology roadmap | togaf | vendor management
C003,"Verilog, VLSI, RTL Design, Digital Electronics",5,Robotics Engineer,0.008725,0.87,0.0,0.61,,c++ | computer aided design | computer vision | control systems | electronics | embedded systems | gazebo | hardware integration | kinematics | linux | machine learning | mathematics | path planning | pcb design | python | ros | sensor fusion | simulation | slam | testing
C004,"Arduino, Embedded C, IoT, Microcontrollers",1,IoT Engineer,0.202585,20.26,15.0,18.68,arduino | embedded c | iot,aws iot | bluetooth | cloud computing | data processing | edge computing | embedded systems | esp32 | http | iot security | linux | mqtt | python | raspberry pi | rest api | sensors | wifi | wireless communication
C004,"Arduino, Embedded C, IoT, Microcontrollers",2,IoT Developer,0.114865,11.49,10.0,11.04,arduino | microcontrollers,api integration | aws iot | azure iot | c | cloud | data analytics | device management | edge computing | electronics | firmware development | iot protocols | linux | mqtt | networking | python | raspberry pi | security | wireless protocols
C004,"Arduino, Embedded C, IoT, Microcontrollers",3,Firmware Engineer,0.038877,3.89,10.0,5.72,embedded c | microcontrollers,arm | c | c++ | can | debugging | device drivers | embedded linux | firmware development | git | gpio | hardware interfaces | i2c | interrupts | memory management | rtos | spi | timers | uart
C004,"Arduino, Embedded C, IoT, Microcontrollers",4,Electronics Engineer,0.019942,1.99,10.0,4.4,embedded c | microcontrollers,analog electronics | circuit design | communication systems | digital electronics | electronics prototyping | embedded systems | emi/emc | matlab | multimeter | oscilloscopes | pcb design | power electronics | sensors | signal processing | soldering | spice | technical documentation | testing and debugging
C004,"Arduino, Embedded C, IoT, Microcontrollers",5,Computer Hardware Engineer,0.016919,1.69,5.0,2.68,microcontrollers,bus architecture | circuit design | computer architecture | cpu architecture | digital electronics | embedded systems | fpga | hardware debugging | hardware testing | i2c | linux | memory systems | microprocessors | pcb design | pcie | spi | uart | usb | verilog
C005,"HTML, CSS, JavaScript, React",1,Fullstack Developer,0.255965,25.6,20.0,23.92,css | html | javascript | react,authentication | ci/cd | cloud | docker | git | graphql | linux | mongodb | next.js | node.js | redis | rest api | sql | testing | typescript | websockets
C005,"HTML, CSS, JavaScript, React",2,React Developer,0.13061,13.06,20.0,15.14,css | html | javascript | react,accessibility | context api | git | graphql | jest | next.js | performance optimization | react hooks | react query | redux | rest api | storybook | styled components | testing | typescript | webpack
C005,"HTML, CSS, JavaScript, React",3,Frontend Developer,0.048895,4.89,20.0,9.42,css | html | javascript | react,accessibility | angular | git | graphql | next.js | performance optimization | pwa | redux | responsive design | rest api | sass | testing | typescript | vue.js | web security | webpack
C005,"HTML, CSS, JavaScript, React",4,Ruby Developer,0.042818,4.28,15.0,7.5,css | html | javascript,api design | authentication | caching | cloud | docker | git | linux | mvc architecture | postgresql | redis | rest api | rspec | ruby | ruby on rails | sidekiq | sql | testing
C005,"HTML, CSS, JavaScript, React",5,PHP Developer,0.02672,2.67,15.0,6.37,css | html | javascript,api authentication | blade templates | caching | composer | docker | eloquent orm | git | laravel | linux | mysql | php | phpunit | queue jobs | redis | rest api | vue.js | wordpress
C006,"Python, TensorFlow, Deep Learning, Computer Vision",1,Research Scientist (AI),0.228522,22.85,20.0,22.0,computer vision | deep learning | python | tensorflow,benchmarking | collaboration | data analysis | distributed training | experimentation | gpu programming | literature review | machine learning | mathematics | nlp | paper writing | pytorch | reinforcement learning | reproducibility | research | statistics
C006,"Python, TensorFlow, Deep Learning, Computer Vision",2,Computer Vision Engineer,0.167592,16.76,20.0,17.73,computer vision | deep learning | python | tensorflow,3d vision | cnns | cuda | data augmentation | gans | image processing | image segmentation | mathematics | object detection | opencv | point cloud | pytorch | ros | tensorrt | transfer learning | yolo
C006,"Python, TensorFlow, Deep Learning, Computer Vision",3,Computer and Information Research Scientist,0.133689,13.37,20.0,15.36,computer vision | deep learning | python | tensorflow,academic research | algorithms | artificial intelligence | data analysis | data structures | experiment design | machine learning | mathematics | neural networks | nlp | optimization | pytorch | research methods | scientific computing | statistics | technical writing
C006,"Python, TensorFlow, Deep Learning, Computer Vision",4,Machine Learning Engineer,0.058201,5.82,15.0,8.57,deep learning | python | tensorflow,cloud | data pipelines | docker | feature engineering | git | kubernetes | linux | machine learning | mlops | model evaluation | numpy | pandas | pytorch | rest api | scikit-learn | spark | statistics
C006,"Python, TensorFlow, Deep Learning, Computer Vision",5,Robotics Engineer,0.040347,4.03,10.0,5.82,computer vision | python,c++ | computer aided design | control systems | electronics | embedded systems | gazebo | hardware integration | kinematics | linux | machine learning | mathematics | path planning | pcb design | ros | sensor fusion | simulation | slam | testing
C007,"C, C++, Embedded Systems, Microcontrollers, RTOS",1,Firmware Engineer,0.174366,17.44,20.0,18.21,c | c++ | microcontrollers | rtos,arm | can | debugging | device drivers | embedded c | embedded linux | firmware development | git | gpio | hardware interfaces | i2c | interrupts | memory management | spi | timers | uart
C007,"C, C++, Embedded Systems, Microcontrollers, RTOS",2,Embedded Systems Engineer,0.023914,2.39,20.0,7.67,c | c++ | microcontrollers | rtos,arm architecture | assembly | bootloaders | can bus | debugging | device drivers | electronics | iot protocols | jtag debugging | linux | memory management | pcb design | power optimization | safety standards | signal processing | uart/spi/i2c
C007,"C, C++, Embedded Systems, Microcontrollers, RTOS",3,Electronics Engineer,0.064062,6.41,10.0,7.48,embedded systems | microcontrollers,analog electronics | circuit design | communication systems | digital electronics | electronics prototyping | embedded c | emi/emc | matlab | multimeter | oscilloscopes | pcb design | power electronics | sensors | signal processing | soldering | spice | technical documentation | testing and debugging
C007,"C, C++, Embedded Systems, Microcontrollers, RTOS",4,Computer Hardware Engineer,0.060941,6.09,10.0,7.27,embedded systems | microcontrollers,bus architecture | circuit design | computer architecture | cpu architecture | digital electronics | fpga | hardware debugging | hardware testing | i2c | linux | memory systems | microprocessors | pcb design | pcie | spi | uart | usb | verilog
C007,"C, C++, Embedded Systems, Microcontrollers, RTOS",5,Robotics Engineer,0.034646,3.46,10.0,5.43,c++ | embedded systems,computer aided design | computer vision | control systems | electronics | gazebo | hardware integration | kinematics | linux | machine learning | mathematics | path planning | pcb design | python | ros | sensor fusion | simulation | slam | testing
C008,"SQL, Python, Data Analysis, Excel, Statistics",1,R Developer,0.127294,12.73,25.0,16.41,data analysis | excel | python | sql | statistics,bioinformatics | data visualization | dplyr | etl | ggplot2 | git | machine learning | r | r markdown | reporting | reproducible research | shiny | statistical modeling | tidyverse | time series
C008,"SQL, Python, Data Analysis, Excel, Statistics",2,Operations Research Analyst,0.073858,7.39,25.0,12.67,data analysis | excel | python | sql | statistics,decision analysis | forecasting | integer programming | linear programming | mathematical modeling | mathematics | operations research | optimization | predictive modeling | probability | r | simulation | solver | supply chain analytics | tableau
C008,"SQL, Python, Data Analysis, Excel, Statistics",3,Data Analyst,0.034496,3.45,20.0,8.41,excel | python | sql | statistics,business acumen | communication | data cleaning | data visualization | dax | etl | google analytics | google sheets | looker | pandas | pivot tables | power bi | power query | r | storytelling with data | tableau
C008,"SQL, Python, Data Analysis, Excel, Statistics",4,Quantitative Analyst,0.027306,2.73,20.0,7.91,excel | python | sql | statistics,bloomberg terminal | derivatives | financial modeling | machine learning | mathematics | monte carlo simulation | numpy | optimization | pandas | portfolio management | probability theory | r | risk management | stochastic calculus | time series analysis | vba
C008,"SQL, Python, Data Analysis, Excel, Statistics",5,Business Analyst,0.029277,2.93,15.0,6.55,data analysis | excel | sql,agile | bpmn | change management | communication | documentation | gap analysis | power bi | presentation skills | process mapping | requirements gathering | risk analysis | stakeholder management | swot analysis | test case review | uml diagrams | use case modeling | visio
C009,"MATLAB, Signal Processing, Communication Systems, DSP",1,Signal Processing Engineer,0.256386,25.64,10.0,20.95,communication systems | matlab,audio processing | digital signal processing | dsp algorithms | fft | filtering | fir filters | fourier transform | iir filters | image processing | linear algebra | modulation | numerical methods | python | sampling | signal analysis | spectral analysis | statistics | time frequency analysis
C009,"MATLAB, Signal Processing, Communication Systems, DSP",2,Electronics Engineer,0.121838,12.18,15.0,13.03,communication systems | matlab | signal processing,analog electronics | circuit design | digital electronics | electronics prototyping | embedded c | embedded systems | emi/emc | microcontrollers | multimeter | oscilloscopes | pcb design | power electronics | sensors | soldering | spice | technical documentation | testing and debugging
C009,"MATLAB, Signal Processing, Communication Systems, DSP",3,Embedded Systems Engineer,0.023282,2.33,5.0,3.13,signal processing,arm architecture | assembly | bootloaders | c | c++ | can bus | debugging | device drivers | electronics | iot protocols | jtag debugging | linux | memory management | microcontrollers | pcb design | power optimization | rtos | safety standards | uart/spi/i2c
C009,"MATLAB, Signal Processing, Communication Systems, DSP",4,Electrical Engineer,0.010115,1.01,5.0,2.21,matlab,autocad electrical | circuit analysis | control systems | electrical circuits | electrical machines | electrical safety | electrical wiring | generators | instrumentation | motors | plc | power electronics | power systems | protection systems | renewable energy | scada | simulink | testing and maintenance | transformers
C009,"MATLAB, Signal Processing, Communication Systems, DSP",5,COBOL Developer,0.013622,1.36,0.0,0.95,,banking systems | batch processing | cics | cobol | copybooks | db2 | debugging | documentation | file handling | jcl | legacy migration | mainframe systems | mq series | performance tuning | racf | rehosting | testing | tso/ispf | vsam | z/os
C010,"AWS, Linux, Cloud Computing, Python",1,IoT Engineer,0.188618,18.86,15.0,17.7,cloud computing | linux | python,arduino | aws iot | bluetooth | data processing | edge computing | embedded c | embedded systems | esp32 | http | iot | iot security | mqtt | raspberry pi | rest api | sensors | wifi | wireless communication
C010,"AWS, Linux, Cloud Computing, Python",2,AWS Solutions Architect,0.032507,3.25,15.0,6.78,aws | linux | python,cloud architecture | cloudformation | cost optimization | disaster recovery | docker | ecs/eks | high availability | kubernetes | lambda | migration | networking | rds | s3 | security | serverless | terraform | well-architected framework
C010,"AWS, Linux, Cloud Computing, Python",3,IoT Developer,0.03019,3.02,10.0,5.11,linux | python,api integration | arduino | aws iot | azure iot | c | cloud | data analytics | device management | edge computing | electronics | firmware development | iot protocols | microcontrollers | mqtt | networking | raspberry pi | security | wireless protocols
C010,"AWS, Linux, Cloud Computing, Python",4,Python Developer,0.020135,2.01,10.0,4.41,linux | python,asyncio | celery | cloud | django | docker | fastapi | flask | git | numpy | pandas | postgresql | pydantic | pytest | redis | rest api | sql | sqlalchemy | testing
C010,"AWS, Linux, Cloud Computing, Python",5,Cloud Engineer,0.014879,1.49,10.0,4.04,linux | python,ansible | auto scaling | cdn | ci/cd | cloud | cloud security | cost optimization | dns | docker | iam | kubernetes | load balancing | monitoring | multi-cloud | networking | serverless | terraform | vpc
